,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,methodology_x,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,methodology_y,avg_times_duration,joules,JPIold,JPI,PERC,tput
174,LBagExecutorMAXChunk,elecNormNew,4,50,1080,1017.0673217773438,43323.0,42.59600067138672,48.0,81.5312088369191,2,25,48,5.286363636363636,465.2,1074.55890722823,45312.0,2,253.74545454545455,225.17794900373977,0.00012202210457178949,0.005857061019445896,50,1017.0673142350106
62,LBagExecutorMAXChunk,elecNormNew,4,50,658,645.9854736328125,44750.0,69.27400207519531,61.0,90.40492170022372,3,25,75,4.443065693430658,608.7,652.9294792357128,45312.0,3,333.2299270072993,307.78894206694446,9.928638421074095e-05,0.007446478815805571,10,645.9854874765994
215,LBagExecutorMAXChunk,elecNormNew,4,50,600,592.157958984375,44808.0,75.66899871826172,69.0,81.23017114258903,2,25,80,4.132191780821917,603.3,597.6417209633596,45312.0,2,330.57534246575335,312.67881456662525,9.221995582980533e-05,0.007377596466384426,90,592.1579611068142
192,LBagExecutorMAXChunk,elecNormNew,4,50,131,129.72494506835938,15550.0,119.86900329589844,237.0,92.15483870967742,3,25,125,3.3955947136563873,770.8,129.77035629770356,15574.0,3,424.4493392070484,407.0265539228128,0.00021836621952774196,0.02729577744096774,50,129.72494616990008
3,LBagExecutorMAXChunk,elecNormNew,4,50,120,119.97396850585938,14376.0,119.82599639892578,253.0,83.01689236353484,2,25,125,3.4488986784140967,782.9,119.78602496375423,14376.0,2,431.1123348017621,413.26772061990744,0.00023990669716291712,0.02998833714536464,10,119.9739658507766
31,AdaptiveRandomForestSequential,elecNormNew,1,1,284,232.3647308349609,27884.0,120.0009994506836,9113.0,88.89327212738488,1,25,125,3.9073059360730586,855.6999999999998,279.3936365150758,33544.0,1,488.4132420091323,468.8806174883559,0.00014012716741045253,0.017515895926306566,90,232.3647313575867
17,AdaptiveRandomForestSequential,elecNormNew,1,1,158,154.8397216796875,18569.0,119.92400360107422,1976.0,89.6009478162529,1,25,124,3.7048888888888887,833.5999999999999,154.71588068655225,18569.0,1,459.4062222222222,444.30510845269094,0.00019952010818508745,0.024740493414950843,50,154.8397271806365
202,AdaptiveRandomForestSequential,elecNormNew,1,1,31,30.000999450683597,3600.0,119.99600219726562,102.0,88.75,1,25,125,3.34070796460177,755.0,29.959305276998744,3600.0,1,417.58849557522126,400.8716002607768,0.0009279744346116028,0.11599680432645035,10,30.000999483981424
78,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,827,766.9154052734375,42550.0,55.48199844360352,65.0,88.72705882352942,3,25,59,5.3694444444444445,579.9,821.0480539247662,45312.0,3,316.7972222222222,297.90750830968227,0.00012619140880010444,0.007445293119206163,90,766.9154174980075
176,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,715,676.5883178710938,42939.0,63.4640007019043,72.0,80.4891697171769,2,25,68,5.155645161290322,639.3,712.5088450349871,45312.0,2,350.5838709677419,327.1978681348985,0.00012006905520133963,0.008164695753691095,50,676.588294546511
