dataset,algorithm,batch_size,JPI_normalized,delay_normalized
airlines,StreamingRandomPatches,500,0.04191394118591414,0.010689990281827016
airlines,StreamingRandomPatches,500,0.09423236227210137,0.025687812070641063
airlines,OzaBagAdwin,500,0.012002066625048347,0.00300258034248182
airlines,OzaBagAdwin,500,0.008627172753612486,0.0021916155624811503
airlines,OzaBagAdwin,500,0.028376128993696553,0.0074427800676921015
airlines,OzaBagASHT,500,0.0021187543359692997,0.0005546060788847558
airlines,OzaBagASHT,500,0.0019306870613682457,0.0005093663080995945
airlines,OzaBagASHT,500,0.004683588322623679,0.0013303843704969673
airlines,OzaBag,500,0.0013756613188276134,0.00036024261921517375
airlines,OzaBag,500,0.0017087114217668963,0.00045239770785161353
airlines,OzaBag,500,0.003877068007770549,0.0010706745752488188
GMSC,AdaptiveRandomForest,500,0.0019709989777697318,0.0005127174022318287
GMSC,AdaptiveRandomForest,500,0.002748300998552933,0.0007925337622733822
GMSC,AdaptiveRandomForest,500,0.010736017592380092,0.002900371971448678
GMSC,LBag,500,0.0015642200717966206,0.00041050903119868636
GMSC,LBag,500,0.0021962894553888947,0.0006383834321906102
GMSC,LBag,500,0.008702898342316535,0.0023156060453738145
GMSC,StreamingRandomPatches,500,0.003629116641122822,0.0009215508863643979
GMSC,StreamingRandomPatches,500,0.005208828044639837,0.0014526993063235147
GMSC,StreamingRandomPatches,500,0.018955589053649156,0.005018263463020676
GMSC,OzaBagAdwin,500,0.0008107192789294329,0.00020609228913240173
GMSC,OzaBagAdwin,500,0.001054861940427878,0.0002764652659093194
GMSC,OzaBagAdwin,500,0.004132553322666663,0.001114238798967863
GMSC,OzaBagASHT,500,0.0004930492455817671,0.00011561274756207902
GMSC,OzaBagASHT,500,0.0006466155193530522,0.00016085251834724039
GMSC,OzaBagASHT,500,0.0021966154502586705,0.0005747126436781609
GMSC,OzaBag,500,0.0005235561132846473,0.00012399048289266445
GMSC,OzaBag,500,0.0006615953658250063,0.00016252806541335746
GMSC,OzaBag,500,0.002211657707105633,0.0005797392848765122
elecNormNew,AdaptiveRandomForest,500,0.003992131537674566,0.0010287858985958916
elecNormNew,AdaptiveRandomForest,500,0.005537857659462505,0.0015465299420260716
elecNormNew,AdaptiveRandomForest,500,0.02243496589361829,0.005698535571864213
elecNormNew,LBag,500,0.0027863765533206086,0.0006802721088435374
elecNormNew,LBag,500,0.0037264194682217165,0.00099527495727355
elecNormNew,LBag,500,0.013837924954737135,0.003501893368184712
elecNormNew,StreamingRandomPatches,500,0.007275502098391164,0.0018548306021916156
elecNormNew,StreamingRandomPatches,500,0.010360494209809907,0.0029355584598371367
elecNormNew,StreamingRandomPatches,500,0.045963308192244555,0.011371937937736672
elecNormNew,OzaBagAdwin,500,0.0016977624323585895,0.00038705137227304715
elecNormNew,OzaBagAdwin,500,0.002050169352237425,0.0005143929492979458
elecNormNew,OzaBagAdwin,500,0.0070935309864086004,0.0018095908314064541
elecNormNew,OzaBagASHT,500,0.0012466434754489135,0.0002764652659093194
elecNormNew,OzaBagASHT,500,0.001265409085730053,0.0002781408129754365
elecNormNew,OzaBagASHT,500,0.004090064601050085,0.0010455413692570625
elecNormNew,OzaBag,500,0.0011547153426804543,0.0002530076069836802
elecNormNew,OzaBag,500,0.0014249945043470008,0.0003150028484300124
elecNormNew,OzaBag,500,0.004280121077373837,0.0010840789517777554
covtypeNorm,AdaptiveRandomForest,500,0.003667195598273109,0.000960088468885091
covtypeNorm,AdaptiveRandomForest,500,0.005358549442765095,0.0014476726651251634
covtypeNorm,AdaptiveRandomForest,500,0.02260433827943297,0.005552762977112027
covtypeNorm,LBag,500,0.004330697684367659,0.0011494252873563218
covtypeNorm,LBag,500,0.00653657525989513,0.0018431017727287959
covtypeNorm,LBag,500,0.029454281403920445,0.007161288160584431
