,dataset,algorithm,batch_size,acc,instances,time,JPI,joules,cores,label,delay,delay_s,IPS,delay_normalized,JPI_normalized
21,GMSC,OBASHTMB,MB-DP,93.1259803103621,150000.0,335.28399658203125,0.0068969284578696,996.7369558167572,4,MB-DP,108.0,0.108,447.38192555904084,0.014859658778205834,0.018390330046780156
22,GMSC,LBagMB,MB-DP,93.37596899224806,53023.0,599.5289916992188,0.0331206651131005,1720.3709987553916,4,MB-DP,971.0,0.971,88.44109414912403,0.13359933957072098,0.0883146702941067
23,GMSC,ARFMB,MB-DP,93.40127388535032,44073.0,599.3790283203125,0.0416329793566138,1797.0502689531038,4,MB-DP,891.0,0.891,73.53110121905544,0.12259218492019813,0.11101234931983237
13,elecNormNew,SRPMB,MB-DF,90.72633312510648,17646.0,599.4609985351562,0.10473164690214444,1813.1925679580174,4,MB-DF,436.0,0.436,29.436443810556135,0.059988992845349476,0.27926193009521466
22,elecNormNew,OBMB,MB-DF,76.94314262976391,45309.0,230.3650054931641,0.0164010469038947,704.4761272769313,4,MB-DF,36.0,0.036,196.68351928281274,0.0049532195927352776,0.043732607568400576
15,elecNormNew,OBAdwinMB,MB-DF,84.41997744909465,45306.0,515.3400268554688,0.035524158989312916,1567.8977232159305,4,MB-DF,95.0,0.095,87.91477013041417,0.013070996147495873,0.09472347182350731
6,elecNormNew,OBASHTMB,MB-DF,77.74952460973776,45308.0,414.2999877929688,0.027803157379391152,1222.2387691824777,4,MB-DF,58.0,0.058,109.36037010611984,0.007980187121629059,0.07413579010902391
5,elecNormNew,LBagMB,MB-DF,90.1046052923186,45225.0,506.3680114746094,0.03710148617254876,1633.9275696484008,4,MB-DF,306.0,0.306,89.31251377491033,0.042102366538249864,0.09892933935840494
12,elecNormNew,ARFMB,MB-DF,89.57113912651958,17816.0,599.458984375,0.10205412435405439,1783.8528561351523,4,MB-DF,309.0,0.309,29.720131759431517,0.04251513483764447,0.27212244421133736
14,covtypeNorm,SRPMB,MB-DF,81.4359315273392,6035.0,599.3049926757812,0.3125366158875282,1847.0329937461927,4,MB-DF,670.0,0.67,10.06999787045806,0.09218492019812878,0.8333639464270732
23,covtypeNorm,OBMB,MB-DF,81.76514772158238,120209.0,599.3809814453125,0.016187644377595897,1902.6684783852693,4,MB-DF,99.0,0.099,200.5552456972108,0.013621353880022015,0.04316357993306623
2,covtypeNorm,OBAdwinMB,MB-DF,83.1741182371583,43889.0,599.5419921875,0.04781126907486529,2052.3200564393082,4,MB-DF,251.0,0.251,73.20421350282035,0.03453494771601541,0.12748646351970183
0,covtypeNorm,OBASHTMB,MB-DF,80.8513251295655,122472.0,599.5490112304688,0.015128906626841554,1815.171321942908,4,MB-DF,79.0,0.079,204.2735417887652,0.010869565217391304,0.04034050633033202
17,covtypeNorm,LBagMB,MB-DF,81.9685204616999,23896.0,599.3759765625,0.08563076747501487,2004.0241740388428,4,MB-DF,396.0,0.396,39.86813108033909,0.05448541552008806,0.2283303481606718
19,covtypeNorm,ARFMB,MB-DF,84.21545041432772,37683.0,599.4409790039062,0.052430833186225136,1935.2061533223027,4,MB-DF,322.0,0.322,62.863570092618644,0.04430379746835443,0.13980431039880517
8,airlines,SRPMB,MB-DF,65.80604534005037,11414.0,599.8079833984375,0.20449839638013537,2287.644809211738,4,MB-DF,2340.0,2.34,19.0294232753117,0.3219592735277931,0.5452851985403423
21,airlines,OBMB,MB-DF,64.06548712760906,242637.0,599.3699951171875,0.008714392020390887,2067.4196709404164,4,MB-DF,96.0,0.096,404.82006436201425,0.013208585580627407,0.023236509758072628
4,airlines,OBAdwinMB,MB-DF,67.63950701814447,35215.0,600.8579711914062,0.06693175145496061,2310.315197367608,4,MB-DF,1074.0,1.074,58.607860240539424,0.14777105118326914,0.1784703157912699
3,airlines,OBASHTMB,MB-DF,66.46463111094222,158257.0,599.3759765625,0.01566204372823093,2423.540147765837,4,MB-DF,310.0,0.31,264.03627470627816,0.042652724270776,0.04176209092623239
7,airlines,LBagMB,MB-DF,61.7723292469352,14755.0,599.3309936523438,0.1438625012404173,2078.7493947559124,4,MB-DF,1929.0,1.929,24.6191172428486,0.265410016510732,0.3836024826599145
11,airlines,ARFMB,MB-DF,65.91982560251908,8627.0,599.5830078125,0.22930864172643012,1938.1086247098617,4,MB-DF,2368.0,2.368,14.388333037446271,0.3258117776554761,0.611440531779929
9,GMSC,SRPMB,MB-DF,93.5831771809286,24060.0,599.3079833984375,0.07522819916331373,1775.3547294048994,4,MB-DF,241.0,0.241,40.146303180487095,0.03315905338470006,0.20059239701981663
10,GMSC,OBMB,MB-DF,93.2590883248052,149989.0,324.25201416015625,0.006870943562177015,991.5818584341752,4,MB-DF,31.0,0.031,462.5692160725227,0.0042652724270776,0.01832104256454268
18,GMSC,OBAdwinMB,MB-DF,93.32469498878956,137454.0,599.4509887695312,0.014319790538564048,1924.8072880119219,4,MB-DF,53.0,0.053,229.29981362137087,0.007292239955971382,0.03818303695820817
16,GMSC,OBASHTMB,MB-DF,93.23856497447002,149983.0,347.2820129394531,0.007279471160577685,1053.2262032423753,4,MB-DF,26.0,0.026,431.87667201799127,0.003577325261419923,0.019410361877291858
1,GMSC,LBagMB,MB-DF,93.34907059840305,77623.0,599.52197265625,0.02471698835822265,1876.4223913408512,4,MB-DF,136.0,0.136,129.47482084114867,0.018712162905888827,0.06590666793875152
20,GMSC,ARFMB,MB-DF,93.38311464088396,69548.0,599.4819946289062,0.028369396425615336,1932.6778218144955,4,MB-DF,163.0,0.163,116.01349268721887,0.022427077600440288,0.07564563945849118
