,index,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
133,133,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,1309,1301.9942626953125,45312.0,34.801998138427734,34.0,79.30935442534577,41,4.406666666666666,330.49999999999994,1296.5548815382854,45312.0,153.36080513000488,0.0033845516668874662,0
131,131,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,261,259.8221435546875,31148.0,119.88200378417967,109.0,80.35243424014406,125,3.687387387387387,818.5999999999999,259.43478731644745,31148.0,442.0513887285111,0.01419196701966454,0
40,40,LBagExecutorMAXChunk,elecNormNew,4,2000,1142,992.72998046875,39463.0,39.75199890136719,1929.0,75.30630221818862,46,5.447058823529412,463.0,1134.4165435745938,45312.0,216.53147636862363,0.005486949202255876,0
127,127,LBagExecutorMAXChunk,elecNormNew,4,2000,634,595.4093627929688,42879.0,72.01599884033203,2708.0,76.0219183443822,77,4.597857142857142,643.6999999999999,627.5552600963936,45312.0,331.11927466801234,0.007722178098090262,0
142,142,LBagExecutorMAXChunk,elecNormNew,4,2000,126,124.9812240600586,14975.0,119.81800079345705,9398.0,77.7495183044316,126,3.8333333333333326,839.4999999999999,124.777109337244,14975.0,459.3023363749186,0.030671274549243312,0
143,143,LBagExecutorMAXChunk,elecNormNew,4,500,1186,1103.035888671875,42329.0,38.375,435.0,77.36737670037533,44,5.512345679012347,446.50000000000006,1174.8904503850442,45312.0,211.53626543209882,0.004997431203952345,0
102,102,LBagExecutorMAXChunk,elecNormNew,4,500,658,641.3827514648438,44528.0,69.42500305175781,651.0,77.5302080494231,75,4.732846715328468,648.4000000000001,652.8636265398746,45312.0,328.57789765518083,0.007379129932967589,0
54,54,LBagExecutorMAXChunk,elecNormNew,4,500,131,129.96961975097656,15574.0,119.8280029296875,2317.0,79.34854716730794,125,3.8761261261261253,860.4999999999998,129.76603119584055,15574.0,464.4684527972796,0.029823324309572338,0
141,141,LBagExecutorMAXChunk,elecNormNew,4,50,1029,969.6764526367188,43042.0,44.38800048828125,48.0,81.7361369557127,49,5.596666666666667,503.7,1016.4883235749378,45312.0,248.4248427327474,0.0057716844647727195,0
208,208,LBagExecutorMAXChunk,elecNormNew,4,50,571,568.6746826171875,45312.0,79.68000030517578,66.0,81.32208033228757,85,4.688387096774194,726.7,567.6061630965802,45312.0,373.57068530174996,0.008244409544971529,0
197,197,LBagExecutorMAXChunk,elecNormNew,4,50,114,109.81858825683594,13179.0,120.00700378417967,273.0,83.10610099779116,126,3.7700000000000005,829.4000000000001,109.8197126384186,13200.0,452.42640426635745,0.03432934245893903,0
173,173,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,639,554.6915893554688,40305.0,72.66200256347656,3305.0,76.18848714267067,77,5.436879432624114,766.6,632.8491620111732,45312.0,395.05454727064637,0.009801626281370707,0
20,20,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,355,342.5813903808594,41069.0,119.88099670410156,4639.0,76.03982697279173,125,4.599559471365638,1044.1,354.19876573027625,42529.0,551.3997738271032,0.013426179693372208,0
7,7,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,71,70.0,8400.0,120.0,17567.0,78.078125,125,3.8898230088495565,879.0999999999998,69.88992337069116,8400.0,466.7787610619468,0.05556890012642224,0
72,72,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,718,668.3856811523438,42381.0,63.40800094604492,715.0,77.85153172082806,67,5.761475409836066,702.9000000000001,712.5088450349871,45312.0,365.32363823749984,0.008619986273035082,0
105,105,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,399,393.4775695800781,45209.0,114.89600372314452,1055.0,78.11178957256928,119,4.735648148148148,1022.9,393.733218633508,45312.0,544.107047261132,0.012035370109074123,0
167,167,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,79,74.87959289550781,8986.0,120.00599670410156,4100.0,79.08319585199152,125,3.9022123893805305,881.8999999999999,74.87769975706347,9000.0,468.28888713870424,0.05211316349195462,0
