,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,delay_normalized,JPI_normalized,PERC,tput
262,OzaBagExecutorMAXChunk,elecNormNew,4,100,2241,2232.95703125,45300.0,20.28700065612793,36.0,76.9137168141593,25,26,5.6938775510204085,279.0,2214.2298670836594,45312.0,148.04081632653063,115.51169761346311,0.00012569266117042844,0.0032680091904311397,6.031969438021514e-05,0.0017577439096856716,50,2232.9569938825134
370,OzaBagExecutorMAXChunk,elecNormNew,4,100,448,443.8087158203125,45300.0,102.0709991455078,126.0,74.80530973451327,25,107,4.584615384615384,894.0,443.110141894601,45312.0,490.5538461538461,467.9562730055588,0.00010120563762947868,0.010829003226354219,0.000211118930330753,0.00582452905114977,10,443.80872509558145
104,OzaBagExecutorMAXChunk,elecNormNew,4,50,3745,3533.72900390625,42850.0,12.12600040435791,13.0,77.32009345794393,25,17,5.942424242424242,196.1,3700.4491629236427,45312.0,101.02121212121212,72.05783876650261,0.0001386796789363884,0.0023575545419186024,2.1782111859522132e-05,0.001268043293740711,90,3533.7290591381084
125,OzaBagExecutorMAXChunk,elecNormNew,4,50,2081,2053.406982421875,44600.0,21.71999931335449,19.0,77.23232323232322,25,28,5.596153846153846,291.0,2071.7845548900373,45312.0,156.69230769230768,121.5484576958876,0.00012547430148327008,0.0035132804415315623,3.1835394256224655e-05,0.0018896664419432616,50,2053.407063073791
49,OzaBagExecutorMAXChunk,elecNormNew,4,50,416,414.3987426757813,45300.0,109.31500244140624,68.0,75.90939226519336,25,114,4.523188405797101,936.3,413.8724733520272,45312.0,515.6434782608695,494.4523516226505,9.98496336820552e-05,0.011382858239754294,0.00011393720049596193,0.006122427624845159,10,414.39874663389577
6,OzaBagExecutorMAXChunk,elecNormNew,4,25,3550,2772.7333984375,41225.0,14.868000030517578,8.0,77.9368932038835,25,20,5.799999999999999,220.39999999999995,3530.8969064131534,45312.0,115.99999999999997,86.23440017700193,0.00014069132807762277,0.0028138265615524553,1.3404376528936698e-05,0.0015134555055605864,90,2772.7333814489434
114,OzaBagExecutorMAXChunk,elecNormNew,4,25,1972,1963.333740234375,45300.0,23.072999954223636,10.0,76.93870789618995,25,29,5.338888888888888,288.29999999999995,1947.981600103177,45312.0,154.82777777777775,123.18418308893838,0.00011785626686288935,0.0034178317390237915,1.6755470661170873e-05,0.0018383280381187915,50,1963.3337706355603
175,OzaBagExecutorMAXChunk,elecNormNew,4,25,394,389.4697265625,45300.0,116.31199645996094,35.0,77.51518498067365,25,121,4.411363636363636,970.5,388.9809338220776,45312.0,533.775,513.0945116563277,9.738109572546658e-05,0.011783112582781457,5.864414731409805e-05,0.006337709955091121,10,389.4697140341323
35,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,2275,1911.084228515625,38000.0,19.88400077819824,940.0,82.65277777777777,25,25,4.793617021276597,225.30000000000004,2258.1481112329316,45312.0,119.84042553191492,95.31628458144817,0.00012614781634938413,0.0031536954087346032,0.001575014242150062,0.0016962586622883973,90,1911.0842140815546
44,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,1264,1168.126708984375,42000.0,35.95500183105469,1350.0,82.56,25,42,4.224675324675324,325.29999999999995,1253.7561218560638,45312.0,177.43636363636364,151.89820903431286,0.00010058750773036486,0.004224675324675325,0.002261988539258068,0.0022723000119126684,50,1168.1267657098042
