,dataset,algorithm,ensemble_size,cores,chunk_size,time,accuracy,rate,90
99,covtypeNorm,OBASHTMB+,150,8,500,553.531005859375,78.0531668595998,1049.6250324730743,944.6625292257669
100,covtypeNorm,OBASHTRUNPER,100,8,1,1460.1619873046875,82.36714560112354,397.90105827399856,358.11095244659873
101,covtypeNorm,OBASHTRUNPER,150,8,1,2064.8359375,81.4940138930005,281.37828746987316,253.24045872288585
102,covtypeNorm,OBMB+,100,8,2000,314.1759948730469,79.35517744019123,1849.281961324805,1664.3537651923245
103,covtypeNorm,OBMB+,100,8,50,626.9879760742188,83.55210839951667,926.652539077121,833.9872851694089
104,covtypeNorm,OBMB+,100,8,500,361.01300048828125,82.8723609503335,1609.3603255677206,1448.4242930109485
105,covtypeNorm,OBMB+,150,8,2000,480.0740051269531,79.32840770139478,1210.2300766032051,1089.2070689428847
106,covtypeNorm,OBMB+,150,8,50,830.5549926757812,83.5486658335657,699.5322466585924,629.5790219927331
107,covtypeNorm,OBMB+,150,8,500,539.0269775390625,82.78416294581334,1077.8681294442183,970.0813164997965
108,covtypeNorm,OBRUNPER,100,8,1,1413.5670166015625,87.24811191507233,411.0169473229613,369.9152525906652
109,covtypeNorm,OBRUNPER,150,8,1,1832.39501953125,87.35654341046312,317.07137042351667,285.36423338116504
110,covtypeNorm,SRPSequential,100,1,1,4141.77197265625,95.34760039379564,140.27812343019605,126.25031108717644
111,covtypeNorm,SRPSequential,150,1,1,6047.44287109375,95.1080184230274,96.0736649166426,86.46629842497835
112,covtypeNorm,SRPMB+,100,8,2000,849.7249755859375,86.7992373215063,683.7506448476048,615.3755803628443
113,covtypeNorm,SRPMB+,100,8,50,1008.5999755859376,93.68943235530035,576.0460183061901,518.4414164755711
114,covtypeNorm,SRPMB+,100,8,500,863.5759887695312,92.51660603053855,672.7838749058315,605.5054874152484
115,covtypeNorm,SRPMB+,150,8,2000,1306.9549560546875,86.03914944767985,444.54477739146273,400.09029965231645
116,covtypeNorm,SRPMB+,150,8,50,1401.81396484375,93.22003848788735,414.4629847975297,373.01668631777676
117,covtypeNorm,SRPMB+,150,8,500,1316.02294921875,92.03840747478088,441.48166287290627,397.33349658561565
118,covtypeNorm,SRPRUNPER,100,8,1,3627.43505859375,95.32780734304971,160.16827058655508,144.15144352789957
119,covtypeNorm,SRPRUNPER,150,8,1,4840.7470703125,95.08134083289156,120.02279639090767,108.02051675181691
120,elecNormNew,ARFMB+,100,8,2000,17.775999069213867,76.1890469154045,2531.5032828694953,2278.352954582546
121,elecNormNew,ARFMB+,100,8,50,26.33699989318848,80.23286642216428,1708.6228569123516,1537.7605712211164
122,elecNormNew,ARFMB+,100,8,500,18.56999969482422,78.38302240471302,2423.2633677717445,2180.9370309945703
123,elecNormNew,ARFMB+,150,8,2000,23.368999481201172,76.20982637606205,1925.6280114259728,1733.0652102833756
