dataset,algorithm,ensemble_size,cores,batch_size,rate,instances,time,acc,prec,recall,change
GMSC,OzaBagAdwin,100,1,1,1,25478.0,60.000999450683594,93.5787738441008,75.89474099810487,52.48822900974963,0.0
elecNormNew,StreamingRandomPatchesExecutorRUNPER,100,8,1,1,5357.0,60.007999420166016,91.67444465185739,91.59160037522727,90.85884827496855,0
airlines,AdaptiveRandomForestExecutorRUNPER,100,8,1,1,2418.0,60.005001068115234,72.49793217535154,59.73887930688701,55.905775689349504,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,150,8,50,1,12950.0,60.02899932861328,93.45736434108527,67.65873015873017,51.08012450344573,0
GMSC,OzaBagExecutorRUNPER,100,8,1,1,29445.0,60.0,93.62540329427746,75.59345022366628,53.42173834152915,0
airlines,StreamingRandomPatches,100,1,1,1,1246.0,60.00899887084961,76.48475120385233,58.31220061989293,52.302083952672575,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,150,8,50,1,3800.0,60.28900146484375,64.26666666666667,67.0724825748202,63.22253078309929,0
covtypeNorm,OzaBagExecutorRUNPER,100,8,1,1,4458.0,60.012001037597656,68.55091969493046,68.25259259700795,66.00609236855776,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,150,8,50,1,5600.0,60.6349983215332,73.6036036036036,74.56905083998124,68.11470019388977,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,150,8,50,1,7250.0,60.27899932861328,93.66666666666667,66.11403067504361,50.4925907712724,0
airlines,OzaBag,100,1,1,1,1504.0,60.150001525878906,73.20478723404256,57.277917452336055,54.07200369249705,0
airlines,LeveragingBag,100,1,1,1,741.0,60.084999084472656,75.97840755735493,59.48539491722029,55.886266468894505,0.0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,150,8,50,1,5000.0,60.215999603271484,83.37373737373738,83.10185185185185,81.49468713105077,0
elecNormNew,AdaptiveRandomForestSequential,100,1,1,1,4198.0,60.0,89.32825154835636,89.39505559541989,88.14023342470152,0
airlines,OzaBagASHT,100,1,1,1,5686.0,60.012001037597656,67.16496658459374,66.47228713209232,53.01855206058246,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,150,8,50,1,1750.0,60.310001373291016,69.82352941176471,?,?,0
airlines,AdaptiveRandomForestSequential,100,1,1,1,935.0,60.01900100708008,73.90374331550802,56.264667276560196,54.285714285714285,0
GMSC,OzaBagASHT,100,1,1,1,38256.0,60.005001068115234,93.43893768297782,75.1,51.9,
airlines,OzaBagASHTExecutorMAXChunk,150,8,50,1,8500.0,60.20399856567383,65.5266272189349,65.57758620689656,59.23853225643507,0
GMSC,OzaBagASHTExecutorRUNPER,100,8,1,1,35184.0,60.0,93.4231468849477,75.5,51.9,
elecNormNew,AdaptiveRandomForestExecutorRUNPER,100,8,1,1,7789.0,60.00299835205078,89.33110797278214,89.27841877715636,88.59542317433272,0
airlines,AdaptiveRandomForestExecutorMAXChunk,150,8,50,1,1700.0,60.93199920654297,74.90909090909092,62.23275862068965,57.14380648591175,0
