,pontos,distancia,batch_size,PERC,inc_rate
113,"(0.0016962586622883973, 0.001575014242150062)",0.0023147274812305566,2000,90,baixo
114,"(0.002322890871370564, 4.859086491739553e-05)",0.002323399034270721,50,90,baixo
115,"(0.002320178474308679, 0.0002915451895043732)",0.002338423988537684,250,10,medio
116,"(0.001728230549824921, 0.0017174357427700143)",0.0024364659578767233,2000,90,baixo
117,"(0.002445604639130382, 6.199524144633223e-05)",0.0024463902920217034,50,50,baixo
118,"(0.0024741636813581103, 0.00010388391809925941)",0.0024763436333819205,100,50,medio
119,"(0.0025135174174822287, 5.529305318186388e-05)",0.0025141255198809598,50,90,baixo
120,"(0.002573691070280037, 3.1835394256224655e-05)",0.002573887957461756,25,90,baixo
121,"(0.0025809386817991545, 2.8484300123990483e-05)",0.0025810958592351256,25,90,baixo
122,"(0.0025865682631380574, 0.00011393720049596193)",0.002589076488929959,100,90,medio
123,"(0.0025814974286987513, 0.00036526926041352504)",0.0026072112701086016,250,90,medio
124,"(0.0018190785783484243, 0.0018682349787205522)",0.0026075560990937675,2000,50,baixo
125,"(0.001882523372918734, 0.0019637411614892263)",0.002720326009674646,2000,90,baixo
126,"(0.0027109314892472657, 0.0007523206326865722)",0.0028133851271659066,500,90,alto
127,"(0.0019223192860088152, 0.0020592473442579)",0.0028170571634588207,2000,90,baixo
128,"(0.002748300998552933, 0.0007925337622733822)",0.0028602916185225327,500,50,alto
129,"(0.0027863765533206086, 0.0006802721088435374)",0.0028682162468972364,500,90,alto
130,"(0.0028582019786591545, 0.00033175831909118325)",0.002877391550188697,250,90,medio
131,"(0.002903806252924328, 0.00012566602995878155)",0.00290652416222677,100,50,medio
132,"(0.0029394662038678024, 6.031969438021514e-05)",0.0029400850377516484,50,50,baixo
133,"(0.0029780861708915123, 7.539961797526893e-05)",0.0029790405072180684,50,50,baixo
134,"(0.00305387261415708, 3.015984719010757e-05)",0.0030540215388698763,25,50,baixo
135,"(0.003066730471857941, 6.702188264468349e-05)",0.0030674627495334422,50,50,baixo
136,"(0.0030417196091184185, 0.0003987802017358668)",0.003067748984156299,250,50,medio
137,"(0.002121881938020955, 0.002225126503803492)",0.0030746659845954515,2000,10,baixo
138,"(0.0022723000119126684, 0.002261988539258068)",0.003206234473003052,2000,50,baixo
139,"(0.0022639604231520496, 0.002340739251365571)",0.003256466956761923,2000,10,baixo
140,"(0.0033578087236319763, 3.686203545457592e-05)",0.003358011053310703,25,50,baixo
141,"(0.0033796436286423186, 0.00016587915954559162)",0.0033837120078686026,100,90,medio
142,"(0.003467132322079684, 6.367078851244931e-05)",0.0034677169013804256,50,10,baixo
143,"(0.002292416436514946, 0.0026021245936798366)",0.003467884876900809,2000,50,baixo
144,"(0.0035967264414985063, 8.377735330585436e-05)",0.003597702008213221,100,10,medio
145,"(0.0036081656517496447, 0.00012566602995878155)",0.0036103533513427103,100,10,medio
146,"(0.003653291446506304, 7.204852384303474e-05)",0.0036540018312672044,50,10,baixo
147,"(0.0037198540387788598, 3.518648838845883e-05)",0.0037200204513933126,25,10,baixo
148,"(0.003629116641122822, 0.0009215508863643979)",0.0037442948109134783,500,90,alto
