dataset,algorithm,ensemble_size,cores,batch_size,instances,time,acc,prec,recall,change
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,1,45312.0,10.77400016784668,76.00857231231497,78.67316799868172,73.03301278161732,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,1,45312.0,93.93800354003906,89.5541372846559,89.59371247492702,88.95941373900217,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,25,1,581012.0,693.635986328125,92.42014020967767,89.42470707932121,81.63794888056744,0
covtypeNorm,OzaBagAdwin,25,1,1,1,33890.0,120.8489990234375,79.79935084095602,74.6179160248,75.11121227806169,290.0
airlines,AdaptiveRandomForestSequential,25,1,1,1,8410.0,126.14600372314453,65.3269916765755,63.523367886766756,60.70225767622499,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,75,1,45312.0,9.895999908447266,77.77704091783275,79.996584516359,75.14422395259382,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,25,1,539383.0,2338.93505859375,67.78243763882246,67.53485498288848,66.58332674973792,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,100,1,45312.0,16.340999603271484,85.7759002034858,86.14811018257113,84.68400804149634,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,250,1,45312.0,100.05000305175781,89.69863743287027,89.74165233205564,89.11278348999785,0
airlines,OzaBagASHTExecutorMAXChunk,25,4,2000,1,539383.0,112.04299926757812,62.56859632701443,61.96483150070594,61.54790849597549,0
GMSC,OzaBagExecutorMAXChunk,25,4,50,1,150000.0,21.413000106811523,93.39646548849616,75.5445021790144,52.17346005502206,0
airlines,LBagExecutorMAXChunk,25,4,25,1,539383.0,2473.97509765625,64.11455841945424,63.618161652232615,62.8439591019603,21493.0
GMSC,LeveragingBag,25,1,1,1,87680.0,121.64800262451172,93.48996350364963,74.8274629972697,54.24274816312249,0.0
elecNormNew,AdaptiveRandomForestSequential,25,1,1,1,38110.0,121.69200134277344,88.60666491734452,88.58937220418184,87.84674347356483,0
airlines,LBagExecutorMAXChunk,25,4,100,1,539383.0,2350.886962890625,63.8271556863465,63.3678597332749,62.399384478962084,5373.0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,25,1,45312.0,52.382999420166016,88.92397376730628,88.87625229356111,88.3824946194625,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,250,1,150000.0,93.99600219726562,93.56327212020034,77.63224005316144,54.783855760669844,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,250,1,539383.0,770.4530029296875,88.12241135304275,88.62047819078808,87.4549166564511,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,1,45312.0,18.016000747680664,85.76289160885511,86.07058000288497,84.71046634421972,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,250,1,581012.0,169.64700317382812,77.43895089554758,73.241928800551,58.18009085183685,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,100,1,539383.0,2292.39892578125,66.16878336606197,65.75865707170169,65.06442226318005,0
GMSC,OzaBagExecutorMAXChunk,25,4,500,1,150000.0,17.1200008392334,93.36588628762541,73.13542694814421,53.998081375676435,0
elecNormNew,OzaBagAdwin,25,1,1,1,45312.0,37.08300018310547,84.8583156779661,85.11547236806389,83.78055422219614,322.0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,1,539383.0,1869.2850341796875,66.13439576614817,65.73966804889146,65.04239132321945,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1,539383.0,2390.091064453125,66.16746981920261,65.75942306277295,65.0552460453085,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,100,1,45312.0,49.284000396728516,88.91444749181633,88.8948695851369,88.34671986637835,0
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,1,581012.0,887.833984375,93.88561895090257,88.01368818348865,87.58622601476893,291.0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,25,1,539383.0,749.3599853515625,86.67619651511612,86.98101529255085,86.06495056250296,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,75,1,45312.0,16.774999618530273,85.73954948382962,86.06075630275205,84.67907390929297,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,15,1,150000.0,71.56999969482422,93.47201386805347,87.20277320309542,51.49562731199324,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,1,581012.0,163.72799682617188,76.77515710269556,74.4274452026469,57.63389154916292,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,1,539383.0,719.8790283203125,87.40190356719361,87.87298009655822,86.72511717965092,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,75,1,539383.0,2309.386962890625,66.1694245217946,65.76089306030946,65.0598795026027,0
GMSC,OzaBagExecutorMAXChunk,25,4,250,1,150000.0,17.774999618530273,93.45709515859765,75.52290288209532,53.96646397827162,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,15,1,45312.0,104.302001953125,89.39664878468773,89.40322867402091,88.8292664403089,0
elecNormNew,LBagExecutorMAXChunk,25,4,100,1,45312.0,34.46500015258789,90.35654251083784,90.35890301043229,89.85359373526475,452.0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,5,1
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,250,1,539383.0,2105.261962890625,66.11151608230251,65.69816395964507,65.01170460222356,0
elecNormNew,LBagExecutorMAXChunk,25,4,500,1,45312.0,32.54399871826172,88.66375078104079,88.68073768381684,88.03525015958165,91.0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,1,539383.0,2303.044921875,67.7766797136463,67.51365003185812,66.60074674679286,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,1,45312.0,10.72599983215332,76.55384189139268,77.62626793524268,74.32668639122724,0
airlines,LBagExecutorMAXChunk,25,4,50,1,539383.0,2421.947021484375,64.03075650850218,63.573308830065145,62.63965454695315,10747.0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,75,1,581012.0,193.21600341796875,76.09912950974031,70.84757093500654,55.08144671613413,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,100,1,581012.0,183.0290069580078,77.48436940534883,74.54565466647128,57.71299365706314,0
GMSC,OzaBagASHTExecutorRUNPER,25,4,1,1,150000.0,80.0,93.40333333333334,75.7,51.7,
GMSC,OzaBagASHTExecutorMAXChunk,25,4,15,1,150000.0,23.54800033569336,93.26265959929326,75.3,51.0,
GMSC,OzaBagExecutorMAXChunk,25,4,25,1,150000.0,23.429000854492188,93.34755792632106,72.78023145958039,52.971178750289674,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,5,1,150000.0,197.6020050048828,95.15183839461315,95.42799822248664,64.32798353476885,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,100,1,539383.0,790.864990234375,88.14481450370214,88.67413958758502,87.46127806919858,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,5,1,150000.0,27.066999435424805,93.27910930364347,75.0,51.0,
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,250,1,45312.0,47.36199951171875,89.01513470329768,89.02240501166716,88.42152841613573,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,75,1,581012.0,654.9609985351562,92.32188688274287,89.4388928243921,81.58194751542825,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1,45312.0,49.23699951171875,88.93111219124211,88.89024420838186,88.38272231371013,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,1,45312.0,47.553001403808594,88.78425421762029,88.77494040633984,88.18907299823533,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,1,581012.0,226.07899475097656,77.6968201018311,74.87595226811605,57.984907228293224,0
airlines,LBagExecutorMAXChunk,25,4,75,1,539383.0,2387.549072265625,63.910047690744435,63.45940253367905,62.479667007331386,7164.0
elecNormNew,OzaBagAdwinExecutorRUNPER,25,4,1,1,45312.0,40.595001220703125,86.1912959039548,86.27739107967945,85.34499267874793,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,25,1,45312.0,11.42300033569336,77.01768719500078,78.17090169070502,74.73843427681055,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,75,1,539383.0,2259.717041015625,67.78798015234338,67.53431916791672,66.59994594967604,0
