dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,methodology,instances,time,delay,out_rate,acc
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,25,23,,2400.0,120.1989974975586,894.0,19.966888427734375,74.73684210526315
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,6556,,133100.0,29.875999450683594,11.0,4455.0810546875,93.30702743329576
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,2407,,278100.0,120.00399780273438,19.0,2317.4228515625,79.74033447221723
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,3625,,146100.0,42.178001403808594,14.0,3463.89111328125,93.33652858610066
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,25,1533,,150000.0,98.3239974975586,13.0,1525.568603515625,93.30955159193199
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,25,808,,87150.0,120.30799865722656,34.0,724.3907470703125,93.4703012912482
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,911,,95700.0,120.01699829101562,62.0,797.3870239257812,91.2430737062206
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,119,,7650.0,120.26599884033203,784.0,63.60900115966797,65.76315789473685
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,100,132,,15500.0,119.81800079345703,736.0,129.3628692626953,80.92857142857143
covtypeNorm,LBagExecutorMAXChunk,25,4,100,641,,69400.0,120.00900268554688,172.0,578.2899780273438,90.75613275613276
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,25,1071,,45300.0,42.41600036621094,18.0,1067.9931640625,84.49475427940365
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,252,,29950.0,119.86699676513672,34.0,249.8602752685547,85.2809364548495
airlines,OzaBagAdwinExecutorMAXChunk,25,4,25,71,,8400.0,120.0479965209961,237.0,69.97201538085938,65.28955223880597
airlines,OzaBagExecutorMAXChunk,25,4,25,4320,,182625.0,120.07599639892578,16.0,1520.9117431640625,63.78641840087623
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,2013,,150000.0,74.85700225830078,22.0,2003.820556640625,93.32110703567857
