dataset,algorithm,ensemble_size,cores,batch_size,instances,time,acc,prec,recall,change
elecNormNew,OzaBagExecutorRUNPER,100,8,1,26854.0,60.0,85.52915766738661,85.66843470421699,84.61746231674525,0
airlines,StreamingRandomPatches,100,1,1,1248.0,60.06100082397461,76.5224358974359,58.330319469559974,52.30623748423942,0
elecNormNew,LeveragingBag,100,1,1,6663.0,60.0,90.21461803992196,89.8967050520945,89.63328648446046,67.0
GMSC,OzaBagAdwinExecutorMAXChunk,150,8,50,43300.0,60.10599899291992,93.42890173410404,75.42878012585743,52.6111070655177,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,150,8,50,7100.0,60.1870002746582,93.67375886524823,66.11864758802375,50.50379223622527,0
airlines,LeveragingBag,100,1,1,738.0,60.24399948120117,75.88075880758808,59.09544870880297,55.6172349986783,0.0
GMSC,OzaBag,100,1,1,32962.0,60.000999450683594,93.58048662095747,76.26873665478317,52.673396063413,0
elecNormNew,OzaBagASHT,100,1,1,19971.0,60.00299835205078,86.73075960142206,86.94476937404623,86.05738068404261,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,150,8,50,4250.0,60.26599884033203,65.21428571428571,66.06735863778692,62.632894498177336,0
elecNormNew,AdaptiveRandomForestSequential,100,1,1,4147.0,60.00699996948242,89.36580660718592,89.42471235492388,88.22228925502519,0
airlines,OzaBagASHT,100,1,1,5795.0,60.00400161743164,67.28213977566868,67.78730680149378,53.82223859875378,0
covtypeNorm,AdaptiveRandomForestExecutorRUNPER,100,8,1,5813.0,60.007999420166016,76.77619129537244,77.3934010243662,72.2307517330605,0
covtypeNorm,LeveragingBag,100,1,1,2306.0,60.00400161743164,71.29228100607112,79.52327906988256,72.75034479845077,6.0
elecNormNew,OzaBagASHTExecutorMAXChunk,150,8,50,32350.0,60.0369987487793,77.34984520123838,77.51459713317902,75.59270979627625,0
covtypeNorm,OzaBagAdwinExecutorRUNPER,100,8,1,4038.0,60.0099983215332,70.75284794452699,71.80834955596114,69.56545051437618,0
airlines,AdaptiveRandomForestSequential,100,1,1,941.0,60.04999923706055,74.0701381509033,56.337110593437835,54.33198380566802,0
airlines,OzaBag,100,1,1,1649.0,60.05699920654297,73.49909035779261,58.24411096280797,54.629888494513864,0
covtypeNorm,OzaBagASHTExecutorRUNPER,100,8,1,4487.0,60.005001068115234,68.55359928682861,68.21838533018936,65.93833035260481,0
airlines,LBagExecutorMAXChunk,150,8,50,1950.0,63.3849983215332,72.36842105263158,56.86606654690307,54.27848967641356,0.0
covtypeNorm,OzaBag,100,1,1,3405.0,60.00400161743164,65.22760646108664,68.87850457147235,66.42429260494495,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,150,8,50,7350.0,60.402000427246094,79.83561643835615,79.32021062987363,78.35271252545215,0
airlines,OzaBagExecutorRUNPER,100,8,1,5033.0,60.66299819946289,67.05742102125969,60.24472368262026,56.79889863093358,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,150,8,50,5600.0,60.37200164794922,73.72972972972973,74.62222237598006,67.98774370822699,0
GMSC,OzaBagASHTExecutorRUNPER,100,8,1,35159.0,60.0,93.42984726528059,75.2,51.5,
elecNormNew,OzaBagAdwinExecutorRUNPER,100,8,1,20067.0,60.00400161743164,89.35067523795286,89.29178684544283,89.02900856523391,0
GMSC,AdaptiveRandomForestExecutorRUNPER,100,8,1,12581.0,60.00899887084961,93.43454415388284,64.67108336276532,50.8066482932634,0
elecNormNew,LBagExecutorMAXChunk,150,8,50,12550.0,60.04499816894531,81.328,81.05297273260597,81.09506429826024,246.0
airlines,OzaBagExecutorMAXChunk,150,8,50,5350.0,60.4119987487793,67.24528301886792,61.11706260393564,55.783438217960246,0
GMSC,LBagExecutorRUNPER,100,8,1,15169.0,60.0,93.47353154459753,68.75160297925375,52.09862779670874,0.0
GMSC,StreamingRandomPatches,100,1,1,4369.0,60.00400161743164,93.88876173037308,67.84962894958305,50.85811357534297,0
elecNormNew,OzaBagExecutorMAXChunk,150,8,50,34300.0,60.05699920654297,79.2934306569343,79.29800608579669,77.95092752997793,0
covtypeNorm,LBagExecutorRUNPER,100,8,1,3911.0,60.020999908447266,73.0248018409614,75.89882419722508,71.23948421012417,30.0
elecNormNew,StreamingRandomPatchesExecutorRUNPER,100,8,1,5351.0,60.000999450683594,91.55298075126144,91.45965231560221,90.72492162205039,0
GMSC,OzaBagExecutorRUNPER,100,8,1,29612.0,60.0,93.63096042145077,75.42456875907043,53.45444231787761,0
