dataset,algorithm,ensemble_size,cores,batch_size,rate,instances,time,acc,prec,recall,change
kyoto_binary,OzaBagASHT,100,1,1,1,621746.0,180.0,93.49991797293428,94.40429019226562,91.55214259898403,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,100,4,250,1,45312.0,48.78200149536133,79.41946651280458,79.23293421947957,78.32039634874009,0
elecNormNew,LBagExecutorMAXChunk,100,4,500,1,45312.0,15.628000259399414,77.57966616084977,77.20085400323543,76.57142305149883,91.0
elecNormNew,OzaBagASHTExecutorMAXChunk,100,4,250,1,45312.0,8.78499984741211,75.20527273534242,75.18681491066643,73.4914255977873,0
kyoto_binary,OzaBagExecutorMAXChunk,100,4,250,1,725457.0,101.95600128173828,96.96803809119328,97.16452136319265,96.4253748601426,0
kyoto_binary,LBagExecutorMAXChunk,100,4,500,1,614500.0,180.18499755859375,97.60928338762214,97.88860551454171,96.89831720060245,1085.0
airlines,OzaBagAdwinExecutorMAXChunk,100,4,500,1,293500.0,180.16900634765625,67.03890784982936,65.59006567076355,62.261249529467634,0
GMSC,OzaBagExecutorMAXChunk,100,4,500,1,150000.0,16.125999450683594,93.49364548494982,78.37407534379409,53.138022695648935,0
GMSC,OzaBagExecutorRUNPER,100,4,1,1,150000.0,79.552001953125,93.54733333333334,77.7222289354691,54.39727961960483,0
covtypeNorm,StreamingRandomPatchesExecutorRUNPER,100,4,1,1,38822.0,180.0019989013672,90.34052856627686,86.82330797381431,86.71266915045919,0
GMSC,LBagExecutorRUNPER,100,4,1,1,150000.0,131.4600067138672,93.54466666666667,76.96631486664194,54.88661218155442,17.0
kyoto_binary,OzaBagASHTExecutorRUNPER,100,4,1,1,406852.0,180.00100708007812,94.27113544974586,95.18314684787488,91.90240173384754,0
airlines,OzaBagExecutorRUNPER,100,4,1,1,224481.0,180.02200317382812,66.79050788262704,63.439941363266826,60.729813124768995,0
GMSC,OzaBagExecutorMAXChunk,100,4,250,1,150000.0,16.506000518798828,93.45308848080134,78.0621751742476,52.46186509926313,0
airlines,StreamingRandomPatchesExecutorRUNPER,100,4,1,1,66401.0,180.052001953125,70.3287601090345,67.58850055390116,62.14121310144838,0
GMSC,StreamingRandomPatchesExecutorRUNPER,100,4,1,1,114137.0,180.02999877929688,93.49728834646083,78.50768219535418,52.45835031999656,0
kyoto_binary,AdaptiveRandomForestExecutorMAXChunk,100,4,500,1,604000.0,180.1929931640625,96.59486329743164,96.8099462832913,95.76139699462051,0
airlines,StreamingRandomPatches,100,1,1,1,26231.0,180.00399780273438,68.51435324615912,67.21959314087691,64.23510033865706,0
GMSC,LBagExecutorMAXChunk,100,4,500,1,150000.0,44.65999984741211,93.55785953177258,77.43501590814114,54.87625854513851,227.0
kyoto_binary,StreamingRandomPatchesExecutorMAXChunk,100,4,50,1,207300.0,180.11300659179688,97.39348612786489,97.22198817421595,97.57023961323458,0
covtypeNorm,OzaBagAdwin,100,1,1,1,160191.0,180.00100708007812,89.03309174672735,75.57838246791799,75.92850950799979,1697.0
elecNormNew,OzaBagASHTExecutorRUNPER,100,4,1,1,45312.0,30.13800048828125,82.94270833333334,83.49296234573185,81.52312196390076,0
airlines,LBagExecutorRUNPER,100,4,1,1,64751.0,180.00100708007812,65.54338929128508,60.406696440835276,58.45105067656036,864.0
airlines,AdaptiveRandomForestExecutorRUNPER,100,4,1,1,66896.0,180.0,68.24473810093279,64.20498918979305,61.93404889005247,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,100,4,250,1,45312.0,8.793000221252441,78.6960188185167,78.29729594916984,77.85956420237153,0
airlines,LeveragingBag,100,1,1,1,20945.0,180.00599670410156,61.943184530914294,60.288504567232,59.49480360101644,228.0
kyoto_binary,OzaBagExecutorRUNPER,100,4,1,1,392727.0,180.00100708007812,97.45752138253799,97.55309755801082,96.74235489163618,0
kyoto_binary,OzaBagAdwin,100,1,1,1,564488.0,180.0,97.28780771247573,97.50645514305252,96.63409945270575,2710.0
kyoto_binary,LBagExecutorRUNPER,100,4,1,1,278417.0,180.0,97.83813488400493,98.01603053084418,97.60680976073893,771.0
covtypeNorm,StreamingRandomPatches,100,1,1,1,21299.0,180.0,85.10258697591436,84.68302490918421,84.79446737517674,0
elecNormNew,OzaBagAdwinExecutorRUNPER,100,4,1,1,45312.0,28.417999267578125,86.33474576271186,86.395557363363,85.52075406379454,0
covtypeNorm,OzaBagASHTExecutorRUNPER,100,4,1,1,133126.0,180.00100708007812,85.19673091657526,71.24408370538146,73.37507815499967,0
elecNormNew,OzaBagExecutorMAXChunk,100,4,250,1,45312.0,7.675000190734863,77.655230571213,77.17339438161257,76.91427471836087,0
kyoto_binary,LeveragingBag,100,1,1,1,228412.0,180.00100708007812,97.70020839535576,97.70201162142249,97.74250930408844,681.0
airlines,OzaBagASHT,100,1,1,1,235771.0,180.00100708007812,69.68202196198854,68.9553083709517,62.076236558815026,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,100,4,250,1,82000.0,180.16200256347656,89.81039755351682,79.87265723340094,74.05740346621431,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,100,4,500,1,265000.0,180.51800537109375,80.00189035916824,67.24614208329888,70.16045593768861,0
kyoto_binary,OzaBagAdwinExecutorMAXChunk,100,4,500,1,725457.0,107.53500366210938,96.88547044859213,97.0940540155779,96.32070342516829,0
airlines,StreamingRandomPatchesExecutorMAXChunk,100,4,50,1,79650.0,180.06300354003906,70.09296482412061,67.07302705468929,61.42724602109908,0
kyoto_binary,AdaptiveRandomForestExecutorMAXChunk,100,4,250,1,600500.0,180.11700439453125,96.91945022907123,97.13971658397156,96.15081030907847,0
covtypeNorm,OzaBagExecutorMAXChunk,100,4,250,1,333750.0,180.01100158691406,84.08575712143927,70.94297846717674,69.62118813052808,0
