dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,53,6000.0,120.55000305175781,5851.0,49.77187728881836,93.69090909090909
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,955,46000.0,121.25800323486328,5225.0,379.3564147949219,93.46363636363635
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,267,31747.0,119.84700012207031,1460.0,264.8960876464844,93.54178001088104
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,90,10800.0,120.16899871826172,397.0,89.87342834472656,63.61860465116279
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,146,17371.0,119.82599639892578,3311.0,144.96853637695312,62.80007112797108
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,1297,45312.0,34.946998596191406,318.0,1296.592041015625,77.87646166205481
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,629,74550.0,120.0250015258789,79.0,621.12060546875,81.46308724832215
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,45,5400.0,120.05899810791016,683.0,44.97788619995117,67.06542056074767
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,39,4200.0,119.97799682617188,34271.0,35.00642013549805,77.77272727272727
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,1462,45312.0,31.084999084472656,283.0,1457.6805419921875,77.18468267428368
elecNormNew,LBagExecutorMAXChunk,25,4,50,114,13179.0,120.00700378417969,273.0,109.81858825683594,83.10610099779116
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,457,54509.0,119.90299987792969,2591.0,454.609130859375,93.38018244491421
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,1220,42939.0,37.159000396728516,1411.0,1155.5477294921875,76.65062654192823
airlines,LBagExecutorMAXChunk,25,4,50,15,1800.0,120.16200256347656,2008.0,14.979777336120605,72.97142857142858
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,680,81000.0,120.05799865722656,714.0,674.6738891601562,80.33043478260869
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,225,26955.0,119.88899993896484,122.0,224.83297729492188,81.62051663259618
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,282,33544.0,119.87300109863281,4145.0,279.8294982910156,75.73548059852904
covtypeNorm,LBagExecutorMAXChunk,25,4,50,397,47270.0,120.0009994506836,118.0,393.91339111328125,85.38754764930114
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,57,6600.0,119.98799896240234,20916.0,55.00550079345703,93.69565217391305
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,305,36539.0,119.95600128173828,138.0,304.6033630371094,76.9190715010003
covtypeNorm,LBagExecutorMAXChunk,25,4,500,51,6000.0,121.5260009765625,6501.0,49.37215042114258,55.945454545454545
elecNormNew,LBagExecutorMAXChunk,25,4,50,571,45312.0,79.68000030517578,66.0,568.6746826171875,81.32208033228757
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,2055,150000.0,73.12000274658203,190.0,2051.42236328125,93.48963210702341
airlines,LBagExecutorMAXChunk,25,4,2000,18,1800.0,119.9469985961914,76144.0,15.006628036499023,75.72222222222223
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,2357,43158.0,20.354000091552734,23.0,2120.369384765625,79.14076273545514
