,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPI,PERC,tput
269,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,250,1441,1425.8555908203125,45000.0,31.559999465942383,139.0,84.8,25,36,4.076119402985074,273.09999999999997,1429.4006309148265,45312.0,146.74029850746265,128.64232618132633,0.003260895522388059,50,1425.8555374362804
146,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,250,288,283.647705078125,34000.0,119.86699676513672,534.0,83.53777777777778,25,126,3.1855263157894735,726.3,284.38517728783347,34143.0,401.37631578947367,381.8394725899947,0.011805185758513932,10,283.64771719957605
359,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,100,2453,2353.95751953125,43600.0,18.52199935913086,41.0,84.41609195402299,25,24,4.704444444444444,211.7,2426.475313269787,45312.0,112.90666666666667,87.13571698506674,0.0025896024464831806,90,2353.9575374462124
216,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,100,1363,1346.2056884765625,44900.0,33.35300064086914,59.0,84.19866071428571,25,38,4.134285714285714,289.4,1352.395164900761,45312.0,157.10285714285715,137.89083407810756,0.0034989500477251036,50,1346.2057127472283
323,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,100,272,269.4068908691406,32300.0,119.89299774169922,218.0,83.95341614906833,25,126,3.105676855895196,711.1999999999998,269.4287570593233,32346.0,391.3152838427947,372.3489082702903,0.012115024267578784,10,269.4068928828355
102,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,2270,2148.0849609375,42850.0,19.947999954223636,23.0,84.08411214953271,25,25,4.7,220.9,2258.1481112329316,45312.0,117.5,93.7555997848511,0.0027421236872812137,90,2148.085025984135
98,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,1261,1258.64794921875,45300.0,35.99100112915039,30.0,84.34696132596684,25,42,3.9961038961038975,307.7000000000001,1253.6867443211686,45312.0,167.8363636363637,143.82377983687766,0.0037049969897652033,50,1258.647955844438
244,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,252,249.8477478027344,29950.0,119.8730010986328,32.0,85.48160535117056,25,126,3.099999999999999,709.8999999999999,249.4897746678329,29950.0,390.5999999999999,371.6063034057616,0.013041736227045072,10,249.8477532514333
144,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,25,1928,1794.7357177734375,42275.0,23.55500030517578,13.0,84.35976331360948,25,29,4.666666666666667,252.00000000000003,1915.211970074813,45312.0,135.33333333333334,109.92333475748698,0.003201261580918589,90,1794.7357016467897
273,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,25,1071,1067.741455078125,45300.0,42.42599868774414,18.0,84.49254555494203,25,47,4.004597701149425,348.4,1064.4365618172849,45312.0,188.21609195402297,169.89905681390871,0.004154880617086599,50,1067.7415123073129
315,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,25,214,209.7843780517578,25150.0,119.88500213623048,69.0,86.71442786069652,25,126,3.0807017543859643,702.3999999999999,209.5766481731394,25158.0,388.1684210526315,369.3299364056503,0.015434132049806423,10,209.7843729561849
173,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,3782,3133.245361328125,38000.0,12.128000259399414,601.0,77.53611111111111,25,18,4.705882352941178,160.00000000000006,3764.7058823529414,45312.0,84.70588235294122,57.07294239717373,0.0022291021671826637,90,3133.2453155704156
287,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,2101,2047.3687744140625,44000.0,21.49099922180176,814.0,78.2095238095238,25,27,4.631372549019607,236.2,2091.097881766579,45312.0,125.0470588235294,99.53282384685443,0.0028419786096256683,50,2047.3687400892813
403,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,420,407.0682067871094,44000.0,108.08999633789062,2686.0,78.49047619047619,25,113,3.0804878048780493,631.5000000000001,418.4860911005209,45312.0,348.0951219512196,332.9699155481851,0.007911252771618627,10,407.06819771235325
