,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,methodology,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPI,PERC,tput
329,OzaBagExecutorMAXChunk,elecNormNew,4,500,2381,78.5995097359049,19.089000701904297,181.0,2291.4765625,,43742.0,25,25,4.73404255319149,222.5,2351.183063511831,45312.0,118.35106382978724,856.8617021276597,6.199961206873478,50,0.10546409227571435
499,OzaBagExecutorMAXChunk,elecNormNew,4,500,476,72.8978844952245,95.46299743652344,609.0,474.6551208496094,,45312.0,25,101,3.3464480874316944,612.4000000000001,473.7419887712108,45312.0,337.9912568306011,2037.986885245902,3.5405472895960854,10,0.15675369037195966
453,OzaBagExecutorMAXChunk,elecNormNew,4,250,4290,77.60415321435028,12.05799961090088,76.0,3231.630615234375,,38967.0,25,18,4.96470588235294,168.79999999999998,4260.248213614141,45312.0,89.36470588235292,377.31764705882347,7.411238079785962,90,0.15865788961711685
290,OzaBagExecutorMAXChunk,elecNormNew,4,250,2383,77.56926838102137,19.084999084472656,89.0,2327.796875,,44426.0,25,24,4.393478260869565,202.1,2351.4270887389725,45312.0,105.44347826086957,391.0195652173913,5.524940179151343,50,0.21443819196036693
90,OzaBagExecutorMAXChunk,elecNormNew,4,250,476,76.66104478274377,95.49099731445312,301.0,474.5159301757813,,45312.0,25,101,3.2939890710382516,602.8000000000001,473.766755191234,45312.0,332.6928961748634,991.4907103825137,3.4840236831887017,10,0.3172458382539971
210,OzaBagExecutorMAXChunk,elecNormNew,4,100,4130,77.07722497979914,12.583000183105469,28.0,3450.2900390625,,43415.0,25,17,4.9875,159.6,4105.463441152487,45312.0,84.7875,139.65,6.7382578690445945,90,0.44939286368233816
185,OzaBagExecutorMAXChunk,elecNormNew,4,100,2294,76.98711420094762,19.722000122070312,37.0,2295.203369140625,,45266.0,25,27,4.588,229.4,2280.422747861097,45312.0,123.876,169.756,6.281107353882125,50,0.5330270303262247
78,OzaBagExecutorMAXChunk,elecNormNew,4,100,458,75.30522870034504,99.68599700927734,124.0,454.54730224609375,,45312.0,25,105,3.3219895287958123,634.5000000000001,453.791611585146,45312.0,348.8089005235603,411.92670157068073,3.4990762091800933,10,0.8039193307199786
379,OzaBagExecutorMAXChunk,elecNormNew,4,75,3800,77.85928415697676,12.927000045776367,21.0,3412.005859375,,44107.0,25,19,4.719444444444444,169.89999999999998,3763.1425961298896,45312.0,89.66944444444444,99.10833333333332,6.936601232065602,90,0.6155714307512555
75,OzaBagExecutorMAXChunk,elecNormNew,4,75,2111,77.58472047217985,21.503999710083008,27.0,2107.142822265625,,45312.0,25,26,4.191836734693877,205.39999999999998,2089.844110321926,45312.0,108.9877551020408,113.17959183673467,5.0682550488938825,50,0.7964444337067781
239,OzaBagExecutorMAXChunk,elecNormNew,4,75,422,77.44103278289896,108.1060028076172,97.0,419.1441650390625,,45312.0,25,114,3.216990291262136,662.7,418.48995613022396,45312.0,366.73689320388354,312.0480582524272,3.3923823254895433,10,1.114494874305332
418,OzaBagExecutorMAXChunk,elecNormNew,4,50,3791,76.27866164823239,11.928999900817873,13.0,3634.587890625,,43357.0,25,17,4.665625,149.3,3764.7058823529414,45312.0,79.31562500000001,60.653125,6.64897524180229,90,0.9176153769859903
201,OzaBagExecutorMAXChunk,elecNormNew,4,50,2106,74.75144713004286,21.506999969482425,19.0,2106.848876953125,,45312.0,25,27,4.218,210.89999999999998,2091.2909032168736,45312.0,113.886,80.142,5.295299212423847,50,1.1319473668148645
18,OzaBagExecutorMAXChunk,elecNormNew,4,50,421,78.08316026689054,108.08699798583984,65.0,419.2178649902344,,45312.0,25,114,3.2336538461538464,672.6,418.50155164770206,45312.0,368.6365384615385,210.18750000000003,3.410553954970907,10,1.6628768920898438
45,OzaBagExecutorMAXChunk,elecNormNew,4,25,3558,76.16579158138293,13.050999641418455,7.0,3445.94287109375,,44973.0,25,19,4.6083333333333325,165.89999999999998,3528.147629058631,45312.0,87.55833333333332,32.258333333333326,6.708936919702267,90,1.8644285202026365
359,OzaBagExecutorMAXChunk,elecNormNew,4,25,1976,78.26749398282068,22.913000106811523,9.0,1977.5672607421875,,45312.0,25,28,4.115094339622641,218.09999999999997,1964.0240995188765,45312.0,115.22264150943396,37.03584905660377,5.02870165287438,50,2.545888900756836
223,OzaBagExecutorMAXChunk,elecNormNew,4,25,395,77.7485812705633,114.9219970703125,35.0,394.2848205566406,,45312.0,25,121,3.2031963470319633,701.5,393.6990086278053,45312.0,387.58675799086757,112.11187214611871,3.3726072281334543,10,3.283485630580357
81,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,2362,84.03404110944612,19.29199981689453,979.0,1937.0205078125,,37369.0,25,25,5.021276595744681,236.00000000000003,2352.037373475214,45312.0,125.53191489361704,4915.829787234044,6.506941534577733,90,0.019705822080586854
324,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,1312,83.97352616742248,34.542999267578125,1320.0,1238.890625,,42795.0,25,41,4.3276315789473685,328.9,1304.8436330127283,45312.0,177.43289473684212,5712.473684210527,5.136580450423704,50,0.026168938839074337
389,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,262,82.54082612872237,119.86299896240234,4433.0,259.86334228515625,,31148.0,25,126,3.307305936073059,724.3,259.46288151406105,31148.0,416.72054794520545,14661.28721461187,3.476640427425973,10,0.02703879967570547
264,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,2588,85.80083098780324,17.658000946044922,227.0,2140.955810546875,,37805.0,25,22,5.209756097560975,213.59999999999997,2565.3626224310706,45312.0,114.61463414634144,1182.6146341463414,6.490804621460454,90,0.07778855042310538
133,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,1437,85.59171192551686,31.50900077819824,296.0,1406.6456298828125,,44322.0,25,37,4.44782608695652,306.8999999999999,1429.806569688555,45312.0,164.56956521739124,1316.55652173913,5.22293824472087,50,0.10644932695337243
282,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,287,83.9045269446839,119.88300323486328,1056.0,284.8026733398437,,34143.0,25,126,3.4446428571428567,771.5999999999999,284.3591238444241,34143.0,434.0249999999999,3637.5428571428565,3.620404797081199,10,0.11352557124513568
300,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,250,2466,85.65514438828639,18.40999984741211,109.0,2152.254150390625,,39623.0,25,23,4.941860465116279,212.5,2453.142764333279,45312.0,113.66279069767441,538.6627906976744,6.173970214000407,90,0.16889908116891844
401,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,250,1370,85.68994125297098,33.17599868774414,144.0,1351.8206787109375,,44848.0,25,39,4.194444444444445,302.0,1360.5164389731272,45312.0,163.58333333333334,604.0,4.9307734447724165,50,0.23038887977600098
135,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,250,274,85.24738285144566,119.86699676513672,557.0,269.8490905761719,,32346.0,25,126,3.38646288209607,775.5,269.42651284827787,32346.0,426.69432314410477,1886.259825327511,3.5597314912306928,10,0.21520107139162786
178,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,100,2495,85.39147956246403,18.14699935913086,43.0,2302.749755859375,,41788.0,25,23,4.995348837209301,214.79999999999995,2480.267119163611,45312.0,114.89302325581392,214.79999999999993,6.331240828418514,90,0.42202324091001997
279,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,100,1386,85.3269043616739,32.74800109863281,57.0,1383.656982421875,,45312.0,25,39,4.401388888888889,316.9,1377.55753503785,45312.0,171.65416666666664,250.87916666666666,5.241668526566435,50,0.5745263350637335
70,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,100,277,85.72994367483635,119.88899993896484,211.0,274.7958679199219,,32945.0,25,126,3.3916666666666666,773.3,274.4341799461877,32945.0,427.34999999999997,715.6416666666667,3.564547207980404,10,0.5681943125069424
227,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,75,2431,85.56693714366823,18.87299919128418,33.0,2243.734619140625,,42346.0,25,24,4.984444444444445,224.3,2401.2718600953895,45312.0,119.62666666666667,164.48666666666668,6.338508546215165,90,0.5719090664025509
151,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,75,1350,84.94159528312382,33.57699966430664,44.0,1340.798828125,,45020.0,25,39,4.220833333333333,303.9,1343.931664491636,45312.0,164.61249999999998,185.71666666666667,4.902537500245682,50,0.7631136287342418
26,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,75,270,86.10207306869945,119.90499877929688,160.0,269.7635803222656,,32346.0,25,126,3.3248908296943234,761.4000000000001,269.43100130775576,32346.0,418.93624454148477,531.9825327510918,3.493901412005347,10,0.7494062423706055
155,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,2263,85.5151341544925,20.11000061035156,22.0,2085.62890625,,41942.0,25,26,4.779166666666667,229.4,2234.8705302096178,45312.0,124.25833333333334,105.14166666666667,6.178932350174657,90,0.9140909368341618
107,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,1257,85.55963059520127,36.20299911499024,30.0,1251.6090087890625,,45312.0,25,42,4.158974358974358,324.4,1246.273172341713,45312.0,174.67692307692306,124.76923076923075,4.824929628678089,50,1.2067666371663415
5,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,251,86.96321070234113,119.88600158691406,34.0,249.82066345214844,,29950.0,25,125,3.316814159292036,749.6000000000001,249.4669154394616,29950.0,414.6017699115045,112.77168141592922,3.458300088613178,10,3.5260588702033546
141,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,25,1929,85.97386405615072,23.57900047302246,13.0,1837.948974609375,,43337.0,25,29,4.887037037037037,263.9,1914.4028053572183,45312.0,141.72407407407408,63.53148148148148,6.010605675852351,90,1.8137692671555738
304,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,25,1071,86.21017068916025,42.47600173950195,18.0,1066.76708984375,,45312.0,25,47,4.199999999999999,361.19999999999993,1064.4365618172849,45312.0,197.39999999999998,75.6,4.647330066766179,50,2.3597778744167752
363,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,25,214,88.55289857955675,119.87999725341795,69.0,209.85986328125,,25158.0,25,126,3.324454148471616,761.3000000000001,209.5853778418321,25158.0,418.88122270742366,229.3873362445415,3.494171106977405,10,1.737391264542289
160,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,3802,77.09035317608885,12.104000091552734,682.0,2813.284912109375,,34052.0,25,18,5.041176470588235,171.4,3765.6444776863627,45312.0,90.74117647058823,3438.0823529411764,7.496792447474916,90,0.01774780072075181
427,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,2112,75.0507942371629,21.483999252319336,794.0,2109.1044921875,,45312.0,25,28,4.619230769230769,240.19999999999996,2090.9048959438883,45312.0,129.33846153846153,3667.6692307692306,6.020222772280101,50,0.027057933567152817
216,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,422,75.187015145918,108.08000183105467,2692.0,419.2449951171875,,45312.0,25,114,3.304830917874397,684.1000000000001,418.5247446104963,45312.0,376.75072463768123,8896.604830917877,3.485850464978705,10,0.04014858909028777
426,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,4488,77.09936527551537,10.109999656677246,138.0,3571.315673828125,,36106.0,25,16,4.809677419354839,149.1,4428.459734167319,45312.0,76.95483870967742,663.7354838709678,7.6117548291756725,90,0.07326086707737135
222,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,2493,78.27331320142426,18.118000030517575,190.0,2476.763427734375,,44874.0,25,23,4.597674418604652,197.70000000000002,2479.995621476657,45312.0,105.746511627907,873.5581395348838,5.836544400584492,50,0.09535789489746092
21,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,498,77.49263590109791,91.64900207519533,596.0,494.4079895019531,,45312.0,25,98,3.3443820224719105,595.3000000000001,493.4120260469978,45312.0,327.74943820224723,1993.2516853932586,3.5761375550312966,10,0.15377349341475727
311,OzaBagASHTExecutorMAXChunk,elecNormNew,4,250,4292,77.41354560876941,11.371000289916992,72.0,3391.522216796875,,38565.0,25,16,4.858064516129033,150.60000000000002,4261.450202200696,45312.0,77.72903225806452,349.78064516129035,6.83572511443775,90,0.15793055958218044
241,OzaBagASHTExecutorMAXChunk,elecNormNew,4,250,2384,77.6108472770849,19.107999801635746,84.0,2371.36279296875,,45312.0,25,25,4.428260869565218,203.70000000000002,2351.671164625285,45312.0,110.70652173913045,371.9739130434783,5.793726339145837,50,0.22747618811471126
328,OzaBagASHTExecutorMAXChunk,elecNormNew,4,250,476,75.40943588833163,95.48799896240234,299.0,474.5308227539063,,45312.0,25,101,3.3103260869565223,609.1000000000001,473.8014325299315,45312.0,334.3429347826088,989.7875000000001,3.50141314527131,10,0.3193578560615463
410,OzaBagASHTExecutorMAXChunk,elecNormNew,4,100,3886,75.8075538748918,11.66800022125244,26.0,3770.826171875,,43998.0,25,17,4.787878787878788,158.0,3828.6438529784537,45312.0,81.39393939393939,124.48484848484848,6.975826007072409,90,0.44876923927893997
416,OzaBagASHTExecutorMAXChunk,elecNormNew,4,100,2159,78.49243563655666,21.089000701904297,36.0,2148.608154296875,,45312.0,25,27,4.226,211.3,2130.6249118352375,45312.0,114.102,152.136,5.410498183998676,50,0.5858055750528971
119,OzaBagASHTExecutorMAXChunk,elecNormNew,4,100,431,77.3046978678227,105.50599670410156,129.0,429.4732055664063,,45312.0,25,111,3.2950495049504953,665.6,428.77825827758164,45312.0,365.750495049505,425.0613861386139,3.466632290819223,10,0.8178759434426478
211,OzaBagASHTExecutorMAXChunk,elecNormNew,4,75,4120,77.6025537186145,12.53600025177002,22.0,3354.578857421875,,42053.0,25,17,4.875,156.0,4104.719630401304,45312.0,82.875,107.25,6.610960301177281,90,0.5698181932622736
462,OzaBagASHTExecutorMAXChunk,elecNormNew,4,75,2289,70.59486703362292,19.89699935913086,26.0,2277.328369140625,,45312.0,25,26,4.258,212.9,2256.910893061712,45312.0,110.708,110.708,5.564055061860139,50,0.7652692061204177
474,OzaBagASHTExecutorMAXChunk,elecNormNew,4,75,457,76.31363706700267,99.6959991455078,92.0,454.5016784667969,,45312.0,25,106,3.2458333333333336,623.2,453.76888951200215,45312.0,344.05833333333334,298.6166666666667,3.4510746296967754,10,1.0836521646250847
