arch,dataset,algorithm,ensemble_size,cores,chunk_size,time,accuracy,precision,recall
Cloud,airlines,OzaBag,150,1,1,431.9580078125,65.08010078181923,65.95909692574529,62.71492573566071
Cloud,airlines,OzaBagAdwin,100,1,1,916.7310180664062,66.57514233856091,66.30346136413216,65.26324161120071
Cloud,airlines,OzaBagAdwin,150,1,1,1293.3609619140625,66.60239570027234,66.35767336757435,65.25575237552847
Cloud,airlines,OzaBagAdwinExecutorMAXChunk,100,8,2000,182.15899658203125,66.25851580716174,66.4043476982215,64.52612606883568
Cloud,airlines,OzaBagAdwinExecutorMAXChunk,100,8,50,303.3340148925781,67.03372498994128,67.07355956539566,65.43584392207205
Cloud,airlines,OzaBagAdwinExecutorMAXChunk,100,8,500,223.3699951171875,66.47880894368537,66.32874065351353,65.01239124772151
Cloud,airlines,OzaBagAdwinExecutorMAXChunk,150,8,2000,260.552001953125,66.04098008310646,66.43488160667384,64.11097874105937
Cloud,airlines,OzaBagAdwinExecutorMAXChunk,150,8,50,434.135009765625,66.85850856520925,66.829029747798,65.30267276135349
Cloud,airlines,OzaBagAdwinExecutorMAXChunk,150,8,500,320.8789978027344,66.55340769703257,66.46041031288334,65.0349740798116
Cloud,airlines,OzaBagAdwinExecutorRUNPER,100,8,1,660.7429809570312,65.95276454764054,65.62715801404413,64.63915837413064
Cloud,airlines,OzaBagAdwinExecutorRUNPER,150,8,1,874.0640258789062,65.94386549075519,65.62462131368945,64.61848223007188
Cloud,airlines,OzaBagASHT,100,1,1,394.3429870605469,68.29284571445523,68.81142303543997,66.49539611733009
Cloud,airlines,OzaBagASHT,150,1,1,587.1510009765625,68.04014957831448,68.32791618528036,66.36145153629171
Cloud,airlines,OzaBagASHTExecutorMAXChunk,100,8,2000,116.71700286865234,65.95910179518147,66.2484673403752,64.08677922647685
Cloud,airlines,OzaBagASHTExecutorMAXChunk,100,8,50,126.79199981689453,68.18551803802104,68.71001046072753,66.37440593781064
Cloud,airlines,OzaBagASHTExecutorMAXChunk,100,8,500,117.73200225830078,67.76591579248186,68.37382221132071,65.87558055781206
Cloud,airlines,OzaBagASHTExecutorMAXChunk,150,8,2000,166.67799377441406,65.61577124695049,65.82223501933942,63.757681421163845
Cloud,airlines,OzaBagASHTExecutorMAXChunk,150,8,50,185.51100158691406,67.90424468741946,68.1959564204014,66.20935604965952
Cloud,airlines,OzaBagASHTExecutorMAXChunk,150,8,500,170.697998046875,67.40739641072366,67.76898608547734,65.62422400602195
