arch,dataset,algorithm,ensemble_size,cores,chunk_size,time,accuracy,precision,recall
seq-batch,elecNormNew,OzaBagAdwinSequentialChunk,100,1,2000,16.513999938964844,75.21241226449945,74.72548786935327,74.24287188869454
seq-batch,elecNormNew,OzaBagAdwinSequentialChunk,100,1,50,16.89900016784668,80.66811011444479,80.58766144152536,79.56305362957087
seq-batch,elecNormNew,OzaBagAdwinSequentialChunk,100,1,500,16.367000579833984,77.48817281085424,77.01121148953062,76.69496468326106
seq-batch,elecNormNew,OzaBagASHTSequentialChunk,100,1,2000,14.513999938964844,71.85306612486147,71.42299688795795,70.27981183016445
seq-batch,elecNormNew,OzaBagASHTSequentialChunk,100,1,50,16.43199920654297,77.72082541646415,78.02185714599088,76.01379464010553
seq-batch,elecNormNew,OzaBagASHTSequentialChunk,100,1,500,16.03499984741211,73.55842185128984,73.41725687883492,71.7537214462352
seq-batch,elecNormNew,OzaBagSequentialChunk,100,1,2000,13.670999526977539,75.11544144809751,74.6214289743968,74.15212203522904
seq-batch,elecNormNew,OzaBagSequentialChunk,100,1,50,13.800000190734863,78.88736688612966,78.49792123445292,78.05687405547859
seq-batch,elecNormNew,OzaBagSequentialChunk,100,1,500,13.404999732971191,77.24493439257341,76.76204765756879,76.43734036941001
seq-batch,elecNormNew,StreamingRandomPatchesSequentialChunk,100,1,2000,138.00100708007812,76.29987070557813,76.17685949946082,74.87838128880885
seq-batch,elecNormNew,StreamingRandomPatchesSequentialChunk,100,1,50,146.7689971923828,81.55185365207018,81.40095578340454,80.60054762101447
seq-batch,elecNormNew,StreamingRandomPatchesSequentialChunk,100,1,500,141.80099487304688,78.51022047665803,78.30776572645324,77.33579171292317
seq-batch,GMSC,AdaptiveRandomForestSequentialChunk,100,1,2000,150.33299255371094,93.53851351351351,77.80288430897026,54.39683598910581
seq-batch,GMSC,AdaptiveRandomForestSequentialChunk,100,1,50,170.572998046875,93.5405135045015,77.87780496119679,54.16353368253327
seq-batch,GMSC,AdaptiveRandomForestSequentialChunk,100,1,500,156.2100067138672,93.51772575250837,77.2735083419333,54.14908095237491
seq-batch,GMSC,LBagSequentialChunk,100,1,2000,103.5199966430664,93.54324324324324,77.10112923228942,54.994152967262245
seq-batch,GMSC,LBagSequentialChunk,100,1,50,131.85499572753906,93.53384461487163,76.58135798945054,54.96587578506749
seq-batch,GMSC,LBagSequentialChunk,100,1,500,115.18099975585938,93.52842809364549,76.73385581650659,54.79084942592453
seq-batch,GMSC,OzaBagAdwinSequentialChunk,100,1,2000,37.8129997253418,93.45945945945945,78.36930093100797,52.677841612969914
seq-batch,GMSC,OzaBagAdwinSequentialChunk,100,1,50,42.354000091552734,93.45315105035012,77.8524302729348,52.51415655211499
seq-batch,GMSC,OzaBagAdwinSequentialChunk,100,1,500,40.43000030517578,93.49364548494982,78.90626343117059,52.95231939966579
seq-batch,GMSC,OzaBagASHTSequentialChunk,100,1,2000,25.250999450683594,93.30405405405405,?,50.0
seq-batch,GMSC,OzaBagASHTSequentialChunk,100,1,50,26.672000885009766,93.31443814604869,46.65815254723336,49.99892802012463
seq-batch,GMSC,OzaBagASHTSequentialChunk,100,1,500,25.533000946044922,93.31237458193979,?,50.0
seq-batch,GMSC,OzaBagSequentialChunk,100,1,2000,31.92099952697754,93.45945945945945,78.59653783739981,52.6075917232937
seq-batch,GMSC,OzaBagSequentialChunk,100,1,50,36.55099868774414,93.45181727242414,78.33658338407858,52.3420690905598
seq-batch,GMSC,OzaBagSequentialChunk,100,1,500,32.659000396728516,93.49230769230769,78.86815030659598,52.94231739926572
seq-batch,GMSC,StreamingRandomPatchesSequentialChunk,100,1,2000,264.87200927734375,93.50472972972973,80.22258039801677,52.87538421505038
seq-batch,GMSC,StreamingRandomPatchesSequentialChunk,100,1,50,286.8500061035156,93.50783594531511,79.87082412185285,52.83525427924555
seq-batch,GMSC,StreamingRandomPatchesSequentialChunk,100,1,500,273.1820068359375,93.5010033444816,80.6544005910595,52.6080683155025
