arch,dataset,algorithm,ensemble_size,cores,chunk_size,time,accuracy,precision,recall
AMD-SCAL,airlines,StreamingRandomPatchesExecutorMAXChunk,100,32,50,714.9630126953125,68.4690163590954,68.37580434915178,67.15333598917543
AMD-SCAL,airlines,StreamingRandomPatchesExecutorMAXChunk,100,4,50,1160.949951171875,68.44787913960391,68.36777260921362,67.11626350393452
AMD-SCAL,airlines,StreamingRandomPatchesExecutorMAXChunk,100,64,50,698.0339965820312,68.4577060925254,68.37020810945727,67.13482704961888
AMD-SCAL,airlines,StreamingRandomPatchesExecutorMAXChunk,100,8,50,747.1599731445312,68.48922650755655,68.41873943381167,67.15186526510777
AMD-SCAL,airlines,StreamingRandomPatchesExecutorMAXChunk,100,96,50,694.135986328125,68.43248976050047,68.33948740121596,67.11286893084689
AMD-SCAL,airlines,StreamingRandomPatchesExecutorRUNPER,100,128,1,1394.5150146484375,68.51179959323895,68.43892194764358,67.17856185595086
AMD-SCAL,airlines,StreamingRandomPatchesExecutorRUNPER,100,16,1,1187.06103515625,68.54924979096486,68.4891087881592,67.20679985471006
AMD-SCAL,airlines,StreamingRandomPatchesExecutorRUNPER,100,2,1,2188.742919921875,68.56575012560648,68.48470629969457,67.24640878383772
AMD-SCAL,airlines,StreamingRandomPatchesExecutorRUNPER,100,32,1,1215.08203125,68.4832484523984,68.38710038610944,67.17153231050573
AMD-SCAL,airlines,StreamingRandomPatchesExecutorRUNPER,100,4,1,1753.6810302734375,68.50994562305449,68.4224047639766,67.19179493957283
AMD-SCAL,airlines,StreamingRandomPatchesExecutorRUNPER,100,64,1,1227.759033203125,68.56686250771715,68.47990231076328,67.25384038708334
AMD-SCAL,airlines,StreamingRandomPatchesExecutorRUNPER,100,8,1,1385.800048828125,68.55666567170266,68.49167357912323,67.21987386788099
AMD-SCAL,airlines,StreamingRandomPatchesExecutorRUNPER,100,96,1,1337.7030029296875,68.60876223388576,68.52688370286447,67.29460711519187
AMD-SCAL,elecNormNew,AdaptiveRandomForestExecutorMAXChunk,100,128,50,17.900999069213867,80.34333436436746,80.08741017630288,79.42493955158874
AMD-SCAL,elecNormNew,AdaptiveRandomForestExecutorMAXChunk,100,16,50,14.942999839782715,80.35659051743184,80.09376780611359,79.44942873478055
AMD-SCAL,elecNormNew,AdaptiveRandomForestExecutorMAXChunk,100,2,50,44.4119987487793,80.18646988643896,79.91609872827897,79.27499797636808
AMD-SCAL,elecNormNew,AdaptiveRandomForestExecutorMAXChunk,100,32,50,15.168999671936035,80.45159294772657,80.18729011800974,79.55518168538298
AMD-SCAL,elecNormNew,AdaptiveRandomForestExecutorMAXChunk,100,4,50,29.533000946044922,80.47589589501126,80.23190057104752,79.55240078992615
AMD-SCAL,elecNormNew,AdaptiveRandomForestExecutorMAXChunk,100,64,50,16.770999908447266,80.54438601917724,80.29898953616004,79.62897471841146
AMD-SCAL,elecNormNew,AdaptiveRandomForestExecutorMAXChunk,100,8,50,16.233999252319336,80.76311254473951,80.51408460390286,79.87226191091212
AMD-SCAL,elecNormNew,AdaptiveRandomForestExecutorMAXChunk,100,96,50,18.22599983215332,80.42508064159782,80.18185466347461,79.49596227886147
AMD-SCAL,elecNormNew,AdaptiveRandomForestExecutorRUNPER,100,128,1,68.83699798583984,89.1353283898305,89.08274043318453,88.61255686810398
AMD-SCAL,elecNormNew,AdaptiveRandomForestExecutorRUNPER,100,16,1,49.43000030517578,89.1353283898305,89.08274043318453,88.61255686810398
AMD-SCAL,elecNormNew,AdaptiveRandomForestExecutorRUNPER,100,2,1,66.57499694824219,89.1353283898305,89.08274043318453,88.61255686810398
AMD-SCAL,elecNormNew,AdaptiveRandomForestExecutorRUNPER,100,32,1,49.54600143432617,89.1353283898305,89.08274043318453,88.61255686810398
AMD-SCAL,elecNormNew,AdaptiveRandomForestExecutorRUNPER,100,4,1,56.38800048828125,89.1353283898305,89.08274043318453,88.61255686810398
AMD-SCAL,elecNormNew,AdaptiveRandomForestExecutorRUNPER,100,64,1,59.24100112915039,89.1353283898305,89.08274043318453,88.61255686810398
AMD-SCAL,elecNormNew,AdaptiveRandomForestExecutorRUNPER,100,8,1,40.180999755859375,89.1353283898305,89.08274043318453,88.61255686810398
AMD-SCAL,elecNormNew,AdaptiveRandomForestExecutorRUNPER,100,96,1,65.88700103759766,89.1353283898305,89.08274043318453,88.61255686810398
AMD-SCAL,elecNormNew,AdaptiveRandomForestSequential,100,1,1,48.59700012207031,89.04925847457628,89.0178834691058,88.49892068910229
AMD-SCAL,elecNormNew,LBagExecutorMAXChunk,100,128,50,12.654999732971191,80.85148689850206,80.61421215326148,79.9517741817302
AMD-SCAL,elecNormNew,LBagExecutorMAXChunk,100,16,50,11.461000442504883,80.81392779815297,80.58802265195224,79.89524635752646
AMD-SCAL,elecNormNew,LBagExecutorMAXChunk,100,2,50,28.601999282836914,80.8978834342274,80.65040947087562,80.01666287462126
AMD-SCAL,elecNormNew,LBagExecutorMAXChunk,100,32,50,9.630999565124512,80.9089302284477,80.66219130992222,80.0276260124873
AMD-SCAL,elecNormNew,LBagExecutorMAXChunk,100,4,50,20.045000076293945,80.72555344439044,80.47080597971184,79.83962984703005
AMD-SCAL,elecNormNew,LBagExecutorMAXChunk,100,64,50,12.746999740600586,81.03707304140339,80.81684025085443,80.13008336820076
AMD-SCAL,elecNormNew,LBagExecutorMAXChunk,100,8,50,10.883000373840332,80.79183420971235,80.5628923582486,79.87536828982195
AMD-SCAL,elecNormNew,LBagExecutorMAXChunk,100,96,50,12.710000038146973,80.86695241041049,80.63112290160963,79.96657638593531
AMD-SCAL,elecNormNew,LBagExecutorRUNPER,100,128,1,73.9020004272461,89.21477754237289,89.24611870594656,88.61274566216002
AMD-SCAL,elecNormNew,LBagExecutorRUNPER,100,16,1,46.28200149536133,89.21477754237289,89.24611870594656,88.61274566216002
AMD-SCAL,elecNormNew,LBagExecutorRUNPER,100,2,1,50.257999420166016,89.21477754237289,89.24611870594656,88.61274566216002
AMD-SCAL,elecNormNew,LBagExecutorRUNPER,100,32,1,45.89799880981445,89.21477754237289,89.24611870594656,88.61274566216002
