dataset,algorithm,batch_size,acc,instances,time,JPI,joules,cores,label,delay,delay_s,IPS,delay_normalized,JPI_normalized
airlines,SRPMB,MB-DF,65.8060,11414.0000,599.8080,0.2045,2287.6448,4,MB-DF,2340.0000,2.3400,19.0294,0.3220,0.5453
airlines,OBMB,MB-DF,64.0655,242637.0000,599.3700,0.0087,2067.4197,4,MB-DF,96.0000,0.0960,404.8201,0.0132,0.0232
airlines,OBAdwinMB,MB-DF,67.6395,35215.0000,600.8580,0.0669,2310.3152,4,MB-DF,1074.0000,1.0740,58.6079,0.1478,0.1785
airlines,OBASHTMB,MB-DF,66.4646,158257.0000,599.3760,0.0157,2423.5401,4,MB-DF,310.0000,0.3100,264.0363,0.0427,0.0418
airlines,LBagMB,MB-DF,61.7723,14755.0000,599.3310,0.1439,2078.7494,4,MB-DF,1929.0000,1.9290,24.6191,0.2654,0.3836
airlines,ARFMB,MB-DF,65.9198,8627.0000,599.5830,0.2293,1938.1086,4,MB-DF,2368.0000,2.3680,14.3883,0.3258,0.6114
GMSC,SRPMB,MB-DF,93.5832,24060.0000,599.3080,0.0752,1775.3547,4,MB-DF,241.0000,0.2410,40.1463,0.0332,0.2006
GMSC,OBMB,MB-DF,93.2591,149989.0000,324.2520,0.0069,991.5819,4,MB-DF,31.0000,0.0310,462.5692,0.0043,0.0183
GMSC,OBAdwinMB,MB-DF,93.3247,137454.0000,599.4510,0.0143,1924.8073,4,MB-DF,53.0000,0.0530,229.2998,0.0073,0.0382
GMSC,OBASHTMB,MB-DF,93.2386,149983.0000,347.2820,0.0073,1053.2262,4,MB-DF,26.0000,0.0260,431.8767,0.0036,0.0194
GMSC,LBagMB,MB-DF,93.3491,77623.0000,599.5220,0.0247,1876.4224,4,MB-DF,136.0000,0.1360,129.4748,0.0187,0.0659
GMSC,ARFMB,MB-DF,93.3831,69548.0000,599.4820,0.0284,1932.6778,4,MB-DF,163.0000,0.1630,116.0135,0.0224,0.0756
