,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,freq_minimum,freq_maximum,PERC
19,LeveragingBag,covtypeNorm,1,1,65,62.32292556762695,7479.0,120.00399780273438,755.0,72.40272763738467,127,3.494222222222222,786.1999999999999,64.89616613418531,7800.0,419.3206358778212,0.05606640404837829,600,600,0
43,LeveragingBag,covtypeNorm,1,1,13,9.963873863220217,1197.0,120.13400268554688,45.0,62.82372598162071,128,3.2030172413793108,743.1000000000001,9.989427855519576,1200.0,384.79128187771505,0.32146305921279456,600,600,0
4,LBagExecutorRUNPER,covtypeNorm,4,1,117,102.35065460205078,12283.0,120.00900268554688,5819.0,74.62346332329236,128,3.703004291845494,862.8000000000001,114.79972335408178,13777.0,444.3938520046775,0.03617958576932977,600,600,0
127,LBagExecutorRUNPER,covtypeNorm,4,1,65,64.89891815185547,7788.0,120.0019989013672,248.0,72.94555726759117,127,3.523478260869565,810.4,64.89886593391964,7800.0,422.82443438986076,0.05429178664482033,600,600,0
84,LBagExecutorRUNPER,covtypeNorm,4,1,13,9.995002746582031,1200.0,120.05999755859376,50.0,62.83333333333333,128,3.1995689655172423,742.3000000000002,9.989178390077416,1200.0,384.1402421885525,0.32011686849046045,600,600,0
71,AdaptiveRandomForestSequential,covtypeNorm,1,1,152,91.4401397705078,10973.0,120.0019989013672,13500.0,75.92271940216897,125,3.5044247787610607,791.9999999999998,149.73003599520064,17970.0,420.5379784508088,0.03832479526572576,600,600,0
93,AdaptiveRandomForestSequential,covtypeNorm,1,1,84,79.91728210449219,9584.0,119.92400360107422,1482.0,76.19991652754591,125,3.4881057268722464,791.8,79.86600111665736,9584.0,418.3076037503549,0.043646452812015325,600,600,0
23,AdaptiveRandomForestSequential,covtypeNorm,1,1,16,15.000624656677246,1800.0,119.99500274658205,135.0,68.66666666666667,126,3.262445414847162,747.1000000000001,14.983393405642081,1800.0,391.4771465151592,0.21748730361953286,600,600,0
49,AdaptiveRandomForestExecutorRUNPER,covtypeNorm,4,1,152,145.7551727294922,17481.0,119.93399810791016,1813.0,75.94531205308621,125,3.66359649122807,835.3,149.7225508656746,17970.0,439.3897746470936,0.025135276851844492,600,600,0
77,AdaptiveRandomForestExecutorRUNPER,covtypeNorm,4,1,84,79.86901092529297,9585.0,120.00900268554688,503.0,76.11893583724569,125,3.4999999999999996,794.4999999999999,79.87220447284345,9600.0,420.031509399414,0.04382175371929202,600,600,0
3,AdaptiveRandomForestExecutorRUNPER,covtypeNorm,4,1,16,15.004125595092772,1800.0,119.96700286865234,102.0,67.94444444444444,126,3.3091324200913244,724.7,14.98301924485583,1800.0,396.9866985338464,0.22054816585213688,600,600,0
95,StreamingRandomPatchesExecutorRUNPER,airlines,4,1,51,27.906938552856445,3349.0,120.00599670410156,14393.0,71.78262167811286,125,3.794273127753304,861.3,49.92968236400403,6000.0,455.33552846362414,0.13596163883655543,600,600,0
113,StreamingRandomPatchesExecutorRUNPER,airlines,4,1,28,24.86459350585937,2984.0,120.01000213623048,679.0,72.62064343163539,126,3.7837719298245616,862.7,24.969412469724585,3000.0,454.0904773812546,0.1521750929561845,600,600,0
58,StreamingRandomPatchesExecutorRUNPER,airlines,4,1,5,4.98507833480835,598.0,119.95800018310548,53.0,75.75250836120402,126,3.25,715.0,4.994963411893008,600.0,389.86350059509283,0.6519456531690515,600,600,0
39,StreamingRandomPatches,airlines,1,1,51,14.489734649658203,1739.0,120.01599884033205,22926.0,74.35307648073606,125,3.449779735682819,783.0999999999999,49.92843590853111,6000.0,414.0287607571102,0.23808439376487073,600,600,0
22,StreamingRandomPatches,airlines,1,1,28,14.507123947143556,1741.0,120.01000213623048,14112.0,74.38253877082137,125,3.451541850220264,783.5,24.969412469724585,3000.0,414.2195448182228,0.23792047376118483,600,600,0
124,StreamingRandomPatches,airlines,1,1,5,4.98507833480835,598.0,119.95800018310548,147.0,75.58528428093646,126,3.271052631578948,745.8000000000001,4.995004995004995,600.0,392.38893217789513,0.6561687829061792,600,600,0
92,OzaBagExecutorRUNPER,airlines,4,1,327,83.53330993652344,10025.0,120.01200103759766,17962.0,63.142144638403984,128,3.8720524017467244,886.6999999999999,324.30428879615516,38935.0,464.6927568560604,0.046353392205093304,600,600,0
103,OzaBagExecutorRUNPER,airlines,4,1,182,84.56102752685547,10148.0,120.00800323486328,14249.0,62.800551832873474,127,3.890434782608696,894.8000000000001,179.6865235107367,21564.0,466.88330997632903,0.046007421164399785,600,600,0
2,OzaBagExecutorRUNPER,airlines,4,1,36,34.941375732421875,4193.0,120.0009994506836,302.0,68.51896017171477,127,3.3713043478260873,775.4000000000001,34.953977263270026,4200.0,404.5598911915655,0.09648459126915467,600,600,0
10,OzaBagAdwinExecutorRUNPER,airlines,4,1,91,80.69070434570312,9687.0,120.0510025024414,2526.0,64.30267368638381,128,3.801293103448276,881.9,89.85847290517435,10800.0,456.34904787458225,0.04710942994472822,600,600,0
89,OzaBagAdwinExecutorRUNPER,airlines,4,1,50,49.924583435058594,5991.0,120.0009994506836,528.0,66.59989984977466,128,3.524017467248908,807.0,49.92885138677384,6000.0,422.8856181515356,0.07058681658346447,600,600,0
129,OzaBagAdwinExecutorRUNPER,airlines,4,1,10,9.987327575683594,1198.0,119.9520034790039,40.0,74.20701168614357,128,3.2991379310344833,765.4000000000001,9.989178390077416,1200.0,395.7382045811621,0.3303323911361954,600,600,0
41,OzaBagAdwin,airlines,1,1,91,73.36054992675781,8804.0,120.01000213623048,7465.0,64.35711040436165,128,3.549568965517241,823.4999999999999,89.85922055446467,10800.0,425.9837791344215,0.04838525433148813,600,600,0
112,OzaBagAdwin,airlines,1,1,50,49.6825065612793,5962.0,120.0019989013672,2001.0,66.95739684669574,127,3.3778260869565218,776.9,49.92843590853111,6000.0,405.34588237596597,0.0679882392445431,600,600,0
100,OzaBagAdwin,airlines,1,1,10,9.987078666687012,1198.0,119.95500183105467,78.0,75.12520868113522,128,3.2745689655172416,759.7,9.989344698987747,1200.0,392.8009262545355,0.3278805728335021,600,600,0
14,OzaBagASHTExecutorRUNPER,airlines,4,1,210,81.19569396972656,9746.0,120.03099822998048,21467.0,63.43115124153499,129,3.825213675213676,895.1000000000001,209.61157121194447,25158.0,459.1442158788699,0.04711104205611224,600,600,0
47,OzaBagASHTExecutorRUNPER,airlines,4,1,117,82.69680786132812,9928.0,120.0530014038086,6744.0,63.39645447219984,128,3.8043290043290043,878.8,114.81247296083065,13800.0,456.7211152972597,0.04600333554565468,600,600,0
110,OzaBagASHTExecutorRUNPER,airlines,4,1,23,19.988996505737305,2398.0,119.96600341796876,93.0,72.18515429524604,128,3.321120689655173,770.5000000000001,19.975696236245902,2400.0,398.4215760066593,0.166147446207948,600,600,0
65,OzaBagASHT,airlines,1,1,210,73.67938995361328,8843.0,120.0199966430664,17428.0,64.1298201967658,127,3.506306306306305,778.3999999999997,209.62729037687583,25158.0,420.8268711124453,0.047588699662155974,600,600,0
35,OzaBagASHT,airlines,1,1,117,73.05875396728516,8768.0,120.01300048828124,13456.0,64.38184306569343,128,3.5202586206896553,816.7,114.8096074010599,13800.0,422.4767995637038,0.04818394155607936,600,600,0
11,OzaBagASHT,airlines,1,1,23,19.98949813842773,2398.0,119.96299743652344,426.0,72.76897414512094,127,3.318614718614719,766.6000000000001,19.975862499479796,2400.0,398.1109689819865,0.16601791867472332,600,600,0
21,OzaBag,airlines,1,1,327,72.78030395507812,8734.0,120.00499725341795,13942.0,64.73551637279597,128,3.5303030303030294,815.4999999999998,324.29078309540074,38935.0,423.6540054552481,0.048506297853818194,600,600,0
34,OzaBag,airlines,1,1,182,76.2834701538086,9156.0,120.0260009765625,19074.0,64.19833988641328,128,3.5180257510729604,819.6999999999998,179.69101544922754,21564.0,422.25456223385515,0.046117798409114806,600,600,0
117,OzaBag,airlines,1,1,36,34.925079345703125,4193.0,120.05699920654295,1199.0,69.59217743858812,127,3.3233766233766238,767.7,34.954268165816394,4200.0,398.9946246357707,0.09515731567750316,600,600,0
67,LeveragingBag,airlines,1,1,51,24.14114761352539,2898.0,120.04399871826172,16327.0,70.28985507246377,129,3.4893162393162394,816.5,49.93051336889496,6000.0,418.87147416008844,0.14453812082818787,600,600,0
18,LeveragingBag,airlines,1,1,28,22.4433708190918,2695.0,120.08000183105467,3097.0,70.61224489795919,127,3.465367965367965,800.5,24.969620295307376,3000.0,416.12139162666347,0.15440496906369702,600,600,0
120,LeveragingBag,airlines,1,1,5,4.985950946807861,598.0,119.93699645996094,87.0,75.91973244147158,128,3.2427312775330397,736.1,4.994797086368366,600.0,388.9234497540848,0.6503736617961284,600,600,0
63,LBagExecutorRUNPER,airlines,4,1,51,39.416786193847656,4731.0,120.0250015258789,3854.0,66.20164870006342,127,4.005194805194805,925.2,49.92926687193143,6000.0,480.7235126049488,0.10161139560451253,600,600,0
8,LBagExecutorRUNPER,airlines,4,1,28,24.947315216064453,2995.0,120.0530014038086,463.0,70.18363939899834,128,3.543103448275862,822.0,24.969412469724585,3000.0,425.36020324970116,0.14202344015015064,600,600,0
0,LBagExecutorRUNPER,airlines,4,1,5,4.986075878143311,598.0,119.93399810791016,30.0,75.91973244147158,128,3.2745689655172416,759.7,4.99488024774606,600.0,392.7321481145662,0.6567427225996091,600,600,0
88,AdaptiveRandomForestSequential,airlines,1,1,58,19.17388153076172,2301.0,120.00700378417967,25881.0,72.44676227727075,125,3.4726872246696034,788.3,54.91899448313737,6600.0,416.74678891219753,0.1811155101747925,600,600,0
72,AdaptiveRandomForestSequential,airlines,1,1,32,19.487009048461918,2340.0,120.08000183105467,14785.0,72.52136752136752,126,3.5048245614035083,799.0999999999999,29.961549345007242,3600.0,420.8593397508587,0.17985441869694815,600,600,0
54,AdaptiveRandomForestSequential,airlines,1,1,6,4.980552673339844,598.0,120.06700134277344,91.0,72.40802675585284,125,3.2884955752212393,743.2,4.994838666711066,600.0,394.83980264579304,0.6602672285046707,600,600,0
76,AdaptiveRandomForestExecutorRUNPER,airlines,4,1,58,34.57269287109375,4149.0,120.00800323486328,13626.0,69.14919257652447,125,3.865929203539823,873.7,54.92127949938422,6600.0,463.94244436415954,0.11182030473949374,600,600,0
83,AdaptiveRandomForestExecutorRUNPER,airlines,4,1,32,29.934682846069336,3593.0,120.02799987792967,1049.0,70.52602282215419,125,3.8066079295154185,864.1,29.96105063417557,3600.0,456.89953609920275,0.1271638007512393,600,600,0
143,AdaptiveRandomForestExecutorRUNPER,airlines,4,1,6,4.983416557312012,598.0,119.9980010986328,42.0,72.74247491638796,125,3.2271929824561405,735.8000000000001,4.994963411893008,600.0,387.256707054272,0.6475864666459398,600,600,0
26,StreamingRandomPatchesExecutorRUNPER,GMSC,4,1,158,154.8126220703125,18569.0,119.94499969482422,954.0,93.58069901448653,125,3.5898678414096916,814.9,154.74037716352362,18569.0,430.58669714234475,0.023188469876802453,600,600,0
133,StreamingRandomPatchesExecutorRUNPER,GMSC,4,1,88,84.8631362915039,10184.0,120.00499725341795,298.0,93.51924587588374,126,3.36578947368421,767.3999999999999,84.86492333036583,10200.0,403.91155654505667,0.03966138614935749,600,600,0
142,StreamingRandomPatchesExecutorRUNPER,GMSC,4,1,17,15.004752159118652,1800.0,119.96199798583984,50.0,94.33333333333334,125,3.215418502202644,729.9000000000002,14.98301924485583,1800.0,385.72802788486575,0.21429334882492543,600,600,0
38,StreamingRandomPatches,GMSC,1,1,158,150.46121215820312,18057.0,120.01100158691406,3668.0,93.60912665448302,125,3.5339207048458143,802.1999999999998,154.73392997016816,18569.0,424.1093633172795,0.0234872549879426,600,600,0
99,StreamingRandomPatches,GMSC,1,1,88,84.06597137451172,10174.0,121.02400207519533,510.0,93.5423628857873,126,3.364732142857143,753.7,84.86562942008487,10200.0,407.2133498396193,0.04002490169447801,600,600,0
105,StreamingRandomPatches,GMSC,1,1,17,15.004752159118652,1800.0,119.96199798583984,78.0,94.2222222222222,126,3.192982456140352,728.0000000000002,14.982645102755974,1800.0,383.03655497233086,0.21279808609573936,600,600,0
118,OzaBagExecutorRUNPER,GMSC,4,1,785,782.4518432617188,93895.0,120.0009994506836,1144.0,93.49166622290856,128,3.608071748878924,804.6,782.5634709959808,94043.0,432.9722159552468,0.004611238255021533,600,600,0
137,OzaBagExecutorRUNPER,GMSC,4,1,436,434.3691101074219,52113.0,119.9739990234375,324.0,93.40279776639228,128,3.423275862068966,794.2,433.9170184597707,52113.0,410.70409493281926,0.007881029588256658,600,600,0
62,OzaBagExecutorRUNPER,GMSC,4,1,87,84.86524963378906,10184.0,120.0019989013672,27.0,93.50942655145326,128,3.224568965517242,748.1000000000001,84.86562942008487,10200.0,386.95472145738285,0.03799633949895747,600,600,0
51,OzaBagAdwinExecutorRUNPER,GMSC,4,1,650,648.4279174804688,77812.0,120.0009994506836,977.0,93.45345190973114,128,3.5448275862068965,822.4,648.1982469429715,77870.0,425.38285322518186,0.005466802719698528,600,600,0
104,OzaBagAdwinExecutorRUNPER,GMSC,4,1,361,359.6067810058594,43128.0,119.93099975585938,300.0,93.41031348543868,127,3.410810810810811,757.2,359.211414007646,43128.0,409.0619505186339,0.009484834690192774,600,600,0
122,OzaBagAdwinExecutorRUNPER,GMSC,4,1,72,69.89476013183594,8388.0,120.00900268554688,24.0,93.621840724845,128,3.2215517241379312,747.4000000000001,69.89399410893478,8400.0,386.61520951369715,0.04609146513038831,600,600,0
