,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC,tput
266,OzaBagASHTExecutorMAXChunk,elecNormNew,4,25,1279,1272.2728271484375,45312.0,35.6150016784668,14.0,80.59045642237287,40,4.477027027027028,331.30000000000007,1267.433078794999,45312.0,159.44932508210883,0.0035189204864519074,50,1272.2728587542397
100,OzaBagASHTExecutorMAXChunk,elecNormNew,4,25,255,254.82131958007807,30549.0,119.88400268554688,53.0,80.7037085572009,126,3.8078602620087345,872.0000000000002,254.45837324559577,30549.0,456.50152987684237,0.014943256076363952,10,254.82132157473387
21,LBagExecutorMAXChunk,elecNormNew,4,100,1087,1005.8768310546876,42105.0,41.85900115966797,95.0,79.77145577907392,47,5.736046511627907,493.3,1079.7054828794053,45312.0,240.10517758214198,0.005702533608410924,90,1005.8768444902373
186,LBagExecutorMAXChunk,elecNormNew,4,100,604,598.9293823242188,45312.0,75.65499877929688,116.0,79.91683623816685,81,4.763309352517986,662.1,597.6811364805508,45312.0,360.3681632501616,0.007953040325965784,50,598.9293600041628
173,LBagExecutorMAXChunk,elecNormNew,4,100,120,119.98297119140624,14376.0,119.81700134277344,482.0,81.9347156066125,125,3.9977876106194694,903.5000000000001,119.78802119788021,14376.0,479.00292350971597,0.03331962461809376,10,119.98297269077052
9,LBagExecutorMAXChunk,elecNormNew,4,75,1043,977.6505737304688,42694.0,43.66999816894531,72.0,80.46880499307821,49,5.647777777777779,508.30000000000007,1035.229609321453,45312.0,246.6384452141656,0.00577688774099793,90,977.6506020181296
29,LBagExecutorMAXChunk,elecNormNew,4,75,579,573.3809204101562,45312.0,79.0260009765625,96.0,80.33468178703274,84,4.774675324675324,735.3,571.9695535274737,45312.0,377.32349687056103,0.008327231127969655,50,573.3809055254943
10,LBagExecutorMAXChunk,elecNormNew,4,75,115,114.9846420288086,13777.0,119.81600189208984,382.0,82.18508246971246,126,4.028251121076233,898.3,114.7978102007316,13777.0,482.6489439446829,0.03503294940441917,10,114.98464130365501
219,LBagExecutorMAXChunk,elecNormNew,4,50,1017,958.9089965820312,42962.0,44.803001403808594,48.0,81.3921513795675,51,5.56808510638298,523.4000000000001,1007.6274767061753,45312.0,249.46692483780237,0.005806687883194506,90,958.9089715839418
156,LBagExecutorMAXChunk,elecNormNew,4,50,565,564.5018920898438,45312.0,80.26899719238281,64.0,81.70871812999867,85,4.746103896103896,730.9,563.4559426993956,45312.0,380.9650003111207,0.0084075962286176,50,564.5018822323087
261,LBagExecutorMAXChunk,elecNormNew,4,50,113,109.82042694091795,13179.0,120.00499725341795,259.0,83.20511844009445,125,4.087224669603524,927.8,109.81788534014426,13200.0,490.48738524987294,0.03721734465815866,10,109.82042666247916
67,LBagExecutorMAXChunk,elecNormNew,4,25,976,923.0307006835938,43040.0,46.62900161743164,25.0,83.01987678716726,52,5.621052631578949,534.0000000000001,968.5776580736182,45312.0,262.10407224956316,0.006089778630333716,90,923.0306999305355
51,LBagExecutorMAXChunk,elecNormNew,4,25,542,539.0948486328125,45312.0,84.052001953125,34.0,83.52507342062843,89,4.680864197530864,758.3,537.9939209726443,45312.0,393.4360066731771,0.008682821474955355,50,539.0948335206825
244,LBagExecutorMAXChunk,elecNormNew,4,25,108,104.95706939697266,12579.0,119.8489990234375,133.0,85.36721363708779,126,3.9510917030567683,904.8,104.82150594980168,12579.0,473.5343856611626,0.0376448354925799,10,104.9570718362034
12,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,100,676,645.3741455078125,43424.0,67.28500366210938,143.0,79.28630782014588,71,5.764615384615384,749.4,672.2449706248888,45312.0,387.87216726449816,0.008932207241721125,90,645.3741195893496
99,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,100,375,374.49359130859375,44925.0,119.96199798583984,184.0,79.31288343558282,124,4.756444444444444,1070.1999999999998,374.12869860675056,44925.0,570.5925788642035,0.01270100342491271,50,374.49359592446007
240,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,100,75,74.88021850585938,8986.0,120.00499725341795,780.0,80.65496286293046,124,3.9191111111111114,881.8000000000001,74.87894570444448,9000.0,470.3129181247287,0.05233840620128296,10,74.88021503824552
181,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,75,713,672.4156494140625,43042.0,64.01100158691406,103.0,79.51683850396816,69,5.67936507936508,715.6,705.7724058440547,45312.0,363.5418471079024,0.008446211772406079,90,672.4156618852093
238,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,75,396,394.1476440429688,45312.0,114.96199798583984,138.0,79.35318434025245,119,4.714814814814815,1018.4000000000001,393.72979736540265,45312.0,542.0245312443486,0.011962052684594559,50,394.1476382967978
95,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,75,79,74.88021850585938,8986.0,120.00499725341795,517.0,80.41746156435866,123,3.8196428571428576,855.6000000000001,74.87769975706347,9000.0,458.37623058046614,0.05101004123975809,10,74.88021503824552
128,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,694,662.8805541992188,43654.0,65.8550033569336,68.0,80.7219521144849,70,5.5796874999999995,714.1999999999999,686.4206507907653,45312.0,367.4503390431404,0.008417334930204343,90,662.8805371612491
224,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,386,384.146484375,45312.0,117.95500183105467,95.0,80.2372851398524,122,4.732863849765258,1008.1,383.6683544732519,45312.0,558.2649640651935,0.01232046619141052,50,384.146490582059
107,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,77,74.87895965576172,8986.0,120.00700378417967,370.0,80.89749328558639,124,4.054666666666667,912.3000000000001,74.87769975706347,9000.0,486.58839801025385,0.05414961028380301,10,74.8789630325277
77,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,25,619,605.315185546875,44711.0,73.86399841308594,36.0,81.60497695027526,77,5.45,763.0,612.1671462732542,45312.0,402.55879135131835,0.009003573871112665,90,605.3151868377448
176,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,25,344,339.5182189941406,40732.0,119.97000122070312,52.0,81.2685778858673,124,4.615454545454546,1015.4000000000001,339.1761247720479,40732.0,553.7160874522817,0.01359412961436418,50,339.5182094319335
