,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,methodology_x,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,methodology_y,avg_times_duration,joules,JPI,PERC,tput
20,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,113,109.98439025878906,13178.0,119.81700134277344,2499.0,81.5743808171636,2,25,126,3.0359649122807015,692.1999999999999,109.81026106810435,13178.0,"2
",382.5315789473684,363.76021197134986,0.02902804514701536,10,109.98439163320631
167,OzaBagAdwin,elecNormNew,1,1,1093,763.3372802734375,39076.0,51.19100189208984,4722.0,84.16163373937967,1,25,58,3.64245283018868,386.1000000000001,1084.6418996553043,45312.0,"1
",211.26226415094345,186.46080972203671,0.005406445494701184,90,763.3372771717156
102,OzaBagAdwin,elecNormNew,1,1,607,584.8499145507812,43900.0,75.06199645996094,781.0,84.28018223234625,1,25,82,3.4288590604026843,510.9,602.4410349137129,45312.0,"1
",281.1664429530201,257.3770066536513,0.0064047025729617344,50,584.8498850335914
215,OzaBagAdwin,elecNormNew,1,1,121,119.93792724609376,14376.0,119.86199951171876,91.0,88.8494713411241,1,25,127,3.0246753246753237,698.6999999999998,119.77903866823306,14376.0,"1
",384.1337662337661,362.5436322893415,0.026720490138687124,10,119.93792910650114
133,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,4297,3080.794921875,35500.0,11.52299976348877,159.0,75.74857142857144,3,25,17,4.596874999999999,147.09999999999997,4259.847701419573,45312.0,"3
",78.14687499999998,52.96978953778743,0.002201320422535211,90,3080.7949951091396
165,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,2387,2351.2626953125,44500.0,18.926000595092773,168.0,77.25227272727273,3,25,24,4.135555555555556,186.10000000000005,2376.586593936851,45312.0,"3
",99.25333333333336,78.26952690548369,0.002230411985018727,50,2351.2627391303254
206,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,1100,1100.3934326171875,45312.0,41.178001403808594,343.0,77.10434704989734,2,25,47,3.7080459770114937,322.59999999999997,1095.4982834485759,45312.0,"2
",174.2781609195402,152.6899224467661,0.0038461811643613216,10,1100.3933764451485
101,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,611,608.7786254882812,45312.0,74.43099975585938,553.0,77.65107560474873,2,25,80,3.3691780821917807,491.9,607.2610799147647,45312.0,"2
",269.5342465753425,250.7712930130632,0.005948407630988314,90,608.7786023112358
164,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,477,471.3868408203125,45000.0,95.46299743652344,612.0,78.08988764044943,3,25,101,3.157923497267759,577.8999999999999,473.7419887712108,45312.0,"3
",318.95027322404366,301.4648427244092,0.007087783849423193,50,471.3868326827053
11,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,122,119.97896575927734,14376.0,119.8209991455078,2279.0,81.73825309887576,2,25,125,3.027312775330396,687.1999999999999,119.78702307250047,14376.0,"2
",378.4140969162995,362.7356414660482,0.0263226277765929,10,119.97896948382248
201,OzaBagASHT,elecNormNew,1,1,1423,902.7770385742188,36279.0,40.18600082397461,3689.0,82.90746712974449,1,25,47,3.643023255813953,313.29999999999995,1412.248714352501,45312.0,"1
",171.22209302325578,146.3985355598982,0.004719592409472582,90,902.7770680369935
29,OzaBagASHT,elecNormNew,1,1,790,742.4313354492188,42646.0,57.44100189208984,932.0,82.96909440510247,1,25,64,3.476923076923077,406.8,786.9262430315555,45312.0,"1
",222.52307692307693,199.71794504018928,0.005217912041529732,50,742.4313399009977
1,OzaBagASHT,elecNormNew,1,1,158,154.94308471679688,18569.0,119.84400177001952,101.0,87.06984759545479,1,25,127,3.0169565217391305,693.9,154.71588068655225,18569.0,"1
",383.1534782608696,361.5641427313763,0.020634039434588268,10,154.94309039874926
90,OzaBag,elecNormNew,1,1,1498,924.183837890625,36801.0,39.81999969482422,4704.0,82.2287437841363,1,25,46,3.6238095238095243,304.40000000000003,1486.9068714313842,45312.0,"1
",166.69523809523812,144.30009413219636,0.004529638816750581,90,924.1838343053371
113,OzaBag,elecNormNew,1,1,832,783.5059204101562,42828.0,54.6619987487793,915.0,82.35266647987298,1,25,61,3.4758928571428576,389.30000000000007,827.0273230027925,45312.0,"1
",212.0294642857143,189.99925100803378,0.004950720656713232,50,783.5059269755742
70,OzaBag,elecNormNew,1,1,166,164.91603088378906,19767.0,119.86100006103516,114.0,86.73040926797188,1,25,127,3.0194805194805197,697.5,164.6934337585296,19767.0,"1
",383.474025974026,361.91795472974906,0.01939970789568604,10,164.91602764814513
57,LeveragingBag,elecNormNew,1,1,463,420.0505981445313,42670.0,101.58300018310548,5301.0,89.75626904148113,1,25,108,3.6959183673469393,724.4000000000001,458.345134533684,45312.0,"1
",399.15918367346944,375.44247618694703,0.009354562542148335,90,420.0505982604022
103,LeveragingBag,elecNormNew,1,1,257,254.6832427978516,30549.0,119.9489974975586,1241.0,89.97675865003765,1,25,126,3.4305676855895197,785.6,254.4689712619742,30549.0,"1
",432.2515283842795,411.4931547339827,0.01414944935625649,50,254.68324569050097
143,LeveragingBag,elecNormNew,1,1,51,49.94916915893555,5994.0,120.0019989013672,136.0,90.674007340674,1,25,126,3.1144736842105263,710.1,49.925112331502746,6000.0,"1
",392.4236842105263,373.74306763096865,0.06546941678520625,10,49.94916797116543
126,LBagExecutorMAXChunk,elecNormNew,4,500,956,903.4562377929688,43000.0,47.595001220703125,489.0,88.56,3,25,54,4.58080808080808,453.5,948.2275143347424,45312.0,"3
",247.36363636363635,218.02356619786732,0.005752642706131078,90,903.4562222323389
