,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,frequency_maximum,PERC,tput
121,AdaptiveRandomForestExecutorRUNPER,elecNormNew,4,1,219,214.80096435546875,25757.0,119.91100311279295,254.0,89.03210777652677,25,124,4.150892857142857,929.8,214.5594188894257,25757.0,514.7107142857143,497.73772631372714,0.0001611559132330185,0.019983333240894293,1200,50,214.80097181550525
136,AdaptiveRandomForestExecutorRUNPER,elecNormNew,4,1,43,39.99966812133789,4800.0,120.0009994506836,17.0,88.8125,25,124,3.5426666666666664,797.0999999999999,39.94175161223216,4800.0,439.29066666666665,425.1235407206217,0.0007380555555555555,0.09151888888888889,1200,10,39.99966685254684
18,StreamingRandomPatchesExecutorRUNPER,covtypeNorm,4,1,108,103.62327575683594,12435.0,120.0019989013672,1370.0,81.41535987133092,25,124,4.670666666666667,1050.9,104.82703539160386,12600.0,579.1626666666667,560.4893362019858,0.000375606487066077,0.046575204396193545,1200,90,103.6232738941345
142,StreamingRandomPatchesExecutorRUNPER,covtypeNorm,4,1,60,59.9018440246582,7189.0,120.01300048828124,227.0,81.83335651690082,25,124,4.082666666666667,918.6000000000001,59.90664547746429,7200.0,506.25066666666675,489.97307666015627,0.0005679046691704921,0.070420178977141,1200,50,59.90184372318877
0,StreamingRandomPatchesExecutorRUNPER,covtypeNorm,4,1,12,10.003917694091797,1200.0,119.9530029296875,45.0,74.75,25,124,3.512888888888888,790.3999999999999,9.98892893709472,1200.0,435.59822222222215,421.38157118055545,0.0029274074074074068,0.36299851851851844,1200,10,10.003917956963532
52,StreamingRandomPatches,covtypeNorm,1,1,108,74.44937896728516,8934.0,120.0009994506836,9365.0,82.05730915603313,25,124,4.178222222222223,940.1,104.8197590120494,12579.0,518.0995555555556,501.39084259372294,0.0004676765415516256,0.057991891152401574,1200,90,74.44937992930281
28,StreamingRandomPatches,covtypeNorm,1,1,60,59.74687957763672,7171.0,120.02300262451172,263.0,82.13638265234974,25,124,4.0377777777777775,908.5,59.90664547746429,7200.0,500.6844444444444,484.6262128194173,0.0005630703915461969,0.06982072855172841,1200,50,59.746880541176374
131,StreamingRandomPatches,covtypeNorm,1,1,12,10.00383472442627,1200.0,119.9540023803711,38.0,74.91666666666667,25,125,3.509009009009008,778.9999999999998,9.989012086704625,1200.0,438.626126126126,420.91967501941014,0.0029241741741741732,0.36552177177177164,1200,10,10.00383460482486
67,OzaBagExecutorRUNPER,covtypeNorm,4,1,390,301.4783020019531,36178.0,120.0019989013672,7735.0,75.04284371717618,25,126,4.409210526315789,1005.2999999999998,388.9513248919857,46722.0,555.5605263157894,529.114076734844,0.00012187546371595414,0.015356308428210222,1200,90,301.4783114549254
50,OzaBagExecutorRUNPER,covtypeNorm,4,1,217,214.6702880859375,25757.0,119.98400115966795,179.0,71.56501145319719,25,126,4.218552036199095,932.3000000000001,214.54690844876848,25757.0,531.537556561086,506.15875240343183,0.00016378274007839016,0.02063662524987716,1200,50,214.6702872970875
81,OzaBagExecutorRUNPER,covtypeNorm,4,1,43,39.99066925048828,4799.0,120.00299835205078,37.0,68.72265055219837,25,125,3.539647577092511,803.5,39.94540794247861,4800.0,442.4559471365639,424.76832236067315,0.0007375802411111713,0.09219753013889642,1200,10,39.99066744916868
35,OzaBagAdwinExecutorRUNPER,covtypeNorm,4,1,379,311.347412109375,37362.0,120.0009994506836,7441.0,81.0395589101226,25,126,4.52982456140351,1032.8000000000002,374.0663952239402,44925.0,570.7578947368422,543.5834747046756,0.0001212414903218112,0.01527642778054821,1200,90,311.3474068635115
