,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,frequency_maximum,PERC,tput
3,OzaBagAdwin,elecNormNew,1,1,444,439.1932067871094,45312.0,103.1709976196289,493.0,84.76783192090396,25,111,3.182673267326733,642.9000000000001,438.7254190025271,45312.0,353.27673267326736,328.3595760874229,7.023908164121498e-05,0.007796538062174862,600,90,439.19319426430667
4,OzaBagAdwin,elecNormNew,1,1,247,244.7425842285156,29351.0,119.9260025024414,186.0,85.85056727198392,25,128,3.090086206896552,716.9,244.48164992420078,29351.0,395.5310344827586,370.58168618103554,0.00010528044042439957,0.013475896374323145,600,50,244.74258615768073
35,OzaBagAdwin,elecNormNew,1,1,49,44.98295974731445,5398.0,120.0009994506836,22.0,88.99592441645053,25,128,3.015450643776824,702.5999999999999,44.93260109835247,5400.0,385.97768240343345,361.85709104742614,0.0005586236835451693,0.07150383149378167,600,10,44.982958681259966
25,OzaBagASHTExecutorRUNPER,elecNormNew,4,1,556,548.4139404296875,44897.0,81.86699676513672,1448.0,83.19264093369267,25,90,3.3615853658536583,551.3,552.3900084116593,45312.0,302.54268292682923,275.2028982720724,7.48732736230407e-05,0.006738594626073662,600,90,548.4139124927508
24,OzaBagASHTExecutorRUNPER,elecNormNew,4,1,309,304.5728759765625,36539.0,119.96800231933594,322.0,83.46698048660336,25,127,3.1995670995671,739.1000000000001,304.3242883080972,36539.0,406.3450216450217,383.84567322173683,8.75658091235967e-05,0.01112085775869678,600,50,304.572880214667
11,OzaBagASHTExecutorRUNPER,elecNormNew,4,1,61,59.90633773803711,7189.0,120.00399780273438,35.0,88.49631381276951,25,128,3.0374999999999996,704.6999999999999,59.90365495494746,7200.0,388.79999999999995,364.5121433258056,0.0004225205174572263,0.054082626234524964,600,10,59.90633755233272
15,OzaBagASHT,elecNormNew,1,1,556,551.2161254882812,45122.0,81.85900115966797,493.0,83.16563982092993,25,90,3.223312883435583,525.4,552.4506217995611,45312.0,290.09815950920245,263.8571730631261,7.143550559451227e-05,0.006429195503506104,600,90,551.2161077068171
16,OzaBagASHT,elecNormNew,1,1,309,304.6338195800781,36539.0,119.94400024414062,170.0,83.250773146501,25,128,3.1021551724137932,719.7,304.3141500791205,36539.0,397.07586206896553,372.0849007573621,8.489983777371557e-05,0.010867179235035593,600,50,304.63382850018763
31,OzaBagASHT,elecNormNew,1,1,61,59.9073371887207,7189.0,120.0019989013672,21.0,88.03727917651968,25,128,3.0012931034482753,696.2999999999998,59.904651762611174,7200.0,384.16551724137923,360.16117170268086,0.0004174840872789366,0.053437963171703885,600,10,59.90733542621093
17,OzaBag,elecNormNew,1,1,577,569.785400390625,45029.0,79.02799987792969,477.0,82.72224566390548,25,87,3.216455696202532,508.20000000000005,571.9912141180034,45312.0,279.83164556962026,254.19006036685994,7.143076009244113e-05,0.006214476128042379,600,90,569.7853933992241
