dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,methodology,instances,time,delay,out_rate,acc
elecNormNew,LBagExecutorMAXChunk,25,4,500,326,2,38935.0,119.88700103759766,1075.0,324.76416015625,76.66970209444517
elecNormNew,LBagExecutorMAXChunk,25,4,500,65,2,7788.0,120.00499725341797,4364.0,64.89730072021484,78.62239297475301
GMSC,AdaptiveRandomForestSequential,25,1,1,257,1,30549.0,119.92500305175781,953.0,254.7342071533203,93.53825002455072
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,42,2,4800.0,119.97699737548828,7701.0,40.007667541503906,56.348837209302324
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,107,2,12500.0,122.24299621582031,4331.0,102.2553482055664,58.550000000000004
elecNormNew,OzaBag,25,1,1,832,1,42828.0,54.6619987487793,915.0,783.5059204101562,82.35266647987298
airlines,OzaBagASHT,25,1,1,89,1,10108.0,121.3270034790039,1664.0,83.31204223632812,64.09774436090225
covtypeNorm,OzaBagAdwin,25,1,1,255,1,19496.0,120.00199890136719,12522.0,162.46395874023438,74.56914238818219
airlines,OzaBagExecutorMAXChunk,25,4,500,911,2,27000.0,132.24200439453125,2444.0,204.17112731933594,64.51698113207547
GMSC,LBagExecutorMAXChunk,25,4,500,418,2,49717.0,119.88899993896484,867.0,414.6919250488281,93.35189060690412
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,671,3,43500.0,67.82599639892578,708.0,641.3469848632812,88.79767441860466
covtypeNorm,OzaBag,25,1,1,253,1,28829.0,120.0009994506836,5789.0,240.2396697998047,72.48950709355164
airlines,OzaBagAdwin,25,1,1,17,1,1798.0,119.96700286865234,150.0,14.987454414367676,73.63737486095661
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,207,3,23500.0,119.85700225830078,2354.0,196.0669708251953,86.40869565217392
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,192,2,22762.0,119.84400177001953,2055.0,189.93023681640625,62.18668583236008
covtypeNorm,LBagExecutorMAXChunk,25,4,500,28,2,3000.0,121.38800048828125,11856.0,24.714139938354492,49.2
elecNormNew,StreamingRandomPatches,25,1,1,153,1,16539.0,120.1989974975586,6166.0,137.59681701660156,91.3779551363444
covtypeNorm,OzaBagASHT,25,1,1,220,1,21736.0,120.00199890136719,10029.0,181.13031005859375,71.03882959146117
elecNormNew,LBagExecutorMAXChunk,25,4,500,956,3,43000.0,47.595001220703125,489.0,903.4562377929688,88.56
airlines,OzaBagASHT,25,1,1,161,1,12578.0,121.93699645996094,11927.0,103.1516342163086,63.76212434409286
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,74,3,8000.0,120.00499725341797,4332.0,66.66388702392578,88.58666666666667
airlines,AdaptiveRandomForestSequential,25,1,1,33,1,3569.0,120.00399780273438,4267.0,29.74067497253418,70.0196133370692
covtypeNorm,OzaBagAdwin,25,1,1,141,1,16772.0,119.92500305175781,787.0,139.85406494140625,71.94133078941091
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,1542,2,150000.0,97.88400268554688,239.0,1532.4261474609375,93.45484949832776
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,356,3,42500.0,120.03399658203125,896.0,354.06634521484375,72.61666666666666
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,4297,3,35500.0,11.52299976348877,159.0,3080.794921875,75.74857142857144
airlines,LeveragingBag,25,1,1,4,1
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,312,2,37138.0,119.86000061035156,1126.0,309.8448181152344,93.52038866750368
airlines,LBagExecutorMAXChunk,25,4,500,129,3,7500.0,125.87899780273438,8259.0,59.58102798461914,61.8
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,1784,3,213000.0,120.10299682617188,214.0,1773.477783203125,78.98823529411764
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,74,3,8000.0,119.99700164794922,4573.0,66.6683349609375,63.92
airlines,LBagExecutorMAXChunk,25,4,500,17,2,1800.0,119.9520034790039,19377.0,15.006002426147461,71.84615384615385
airlines,LeveragingBag,25,1,1,41,1,3791.0,120.05599975585938,5020.0,31.57693099975586,68.5307306779214
GMSC,OzaBagExecutorMAXChunk,25,4,500,1603,2,150000.0,94.00499725341797,223.0,1595.659912109375,93.39397993311037
GMSC,AdaptiveRandomForestSequential,25,1,1,51,1,5995.0,120.00599670410156,191.0,49.95583724975586,93.7114261884904
elecNormNew,LeveragingBag,25,1,1,51,1,5994.0,120.00199890136719,136.0,49.94916915893555,90.67400734067401
airlines,OzaBagASHTExecutorMAXChunk,25,4,500,487,3,58000.0,119.99700164794922,772.0,483.34539794921875,65.24173913043478
airlines,OzaBagAdwin,25,1,1,153,1,12283.0,120.0780029296875,11612.0,102.29183959960938,63.8036310347635
airlines,OzaBagASHTExecutorMAXChunk,25,4,500,53,2,6000.0,121.23699951171875,6026.0,49.48984146118164,65.78181818181818
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,133,2,15574.0,119.82599639892578,2121.0,129.9718017578125,80.68196895316439
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,278,2,32945.0,119.8479995727539,1416.0,274.8898620605469,93.49976883957466
covtypeNorm,OzaBag,25,1,1,28,1,2999.0,120.0009994506836,99.0,24.991458892822266,65.55518506168723
airlines,StreamingRandomPatches,25,1,1,6,1,598.0,119.98200225830078,118.0,4.984080791473389,75.58528428093646
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,3459,3,406500.0,120.0009994506836,135.0,3387.4716796875,76.36724137931034
GMSC,LBagExecutorMAXChunk,25,4,500,216,3,25500.0,119.8280029296875,1442.0,212.8050079345703,93.432
GMSC,OzaBagAdwin,25,1,1,1541,1,145814.0,103.13600158691406,3984.0,1413.8031005859375,93.45261771846324
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,2417,3,150000.0,62.27799987792969,162.0,2408.55517578125,93.44682274247491
airlines,OzaBagAdwin,25,1,1,85,1,10169.0,120.0250015258789,1914.0,84.72401428222656,64.06726325105714
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,204,2,23960.0,119.8479995727539,2123.0,199.91990661621094,64.33503836317136
