,dataset,algorithm,batch_size,acc,instances,time,JPI,joules,cores,label,delay,IPS,delay_s
53,covtypeNorm,LBagMB,500,74.55757575757576,17000.0,599.2360229492188,0.1035560116354234,1740.8025967049512,4,MB-LF-500,9225.0,28.369456022240232,9.225
77,covtypeNorm,ARFMB,500,80.904,25500.0,599.239990234375,0.06939643820831083,1755.6632190949324,4,MB-LF-500,6375.0,42.553902302191865,6.375
62,airlines,SRPMB,500,66.4,6500.0,599.2139892578125,0.29486871606853277,1898.3165087733983,4,MB-LF-500,25351.0,10.847543809934932,25.351
44,airlines,OBMB,500,65.93656957928803,155000.0,599.3280029296875,0.011376955146210933,1746.8955539105464,4,MB-LF-500,1121.0,258.6229898191232,1.121
36,airlines,OBAdwinMB,500,64.85217391304347,23500.0,599.2509765625,0.0801808491207617,1860.1954287064787,4,MB-LF-500,7454.0,39.215622367115195,7.454
94,airlines,OBASHTMB,500,66.485,140500.0,599.302001953125,0.012600610066090492,1750.8179914202008,4,MB-LF-500,1309.0,234.43939706877427,1.309
74,airlines,LBagMB,500,61.546666666666674,8000.0,599.218994140625,0.2506825549450549,1983.0197811587825,4,MB-LF-500,23614.0,13.350711640029482,23.614
37,airlines,ARFMB,500,64.9,8500.0,599.2080078125,0.22484995408631772,1896.0614087429694,4,MB-LF-500,20379.0,14.185391198342865,20.379
68,GMSC,SRPMB,500,93.53846153846152,33000.0,599.2570190429688,0.056399786128933704,1843.525511470134,4,MB-LF-500,4995.0,55.06819102878758,4.995
4,GMSC,OBMB,500,93.30635451505016,150000.0,411.30999755859375,0.00815651261620186,1206.7824403800814,4,MB-LF-500,744.0,364.68843667878883,0.744
84,GMSC,OBAdwinMB,500,93.44567474048444,145000.0,599.3380126953125,0.012310420544531029,1765.387677833997,4,MB-LF-500,1123.0,241.93359494738763,1.123
59,GMSC,OBASHTMB,500,93.20535117056856,150000.0,389.2950134277344,0.0075933941947565545,1122.558415826519,4,MB-LF-500,684.0,385.3118967007904,0.684
93,GMSC,LBagMB,500,93.39831932773107,60000.0,599.2689819335938,0.028944717125382265,1720.2318509835059,4,MB-LF-500,2814.0,100.12198496642485,2.814
90,GMSC,ARFMB,500,93.4,58500.0,599.2990112304688,0.029909931294899217,1733.2430523698424,4,MB-LF-500,2802.0,97.61404391422066,2.802
73,elecNormNew,SRPMB,500,90.9,20500.0,599.2639770507812,0.08789512867029496,1787.7216549539696,4,MB-LF-500,7973.0,34.20863056192487,7.973
71,elecNormNew,OBMB,500,77.37078651685393,45000.0,249.17300415039065,0.016233768115942026,713.8264888464887,4,MB-LF-500,1470.0,180.5974132448146,1.47
33,elecNormNew,OBAdwinMB,500,84.20674157303371,45000.0,468.2579956054688,0.030011279657720737,1331.3388939233203,4,MB-LF-500,2681.0,96.10086837238929,2.681
0,elecNormNew,OBASHTMB,500,77.40224719101123,45000.0,168.2270050048828,0.011978268489309501,518.1604027973741,4,MB-LF-500,974.0,267.4956972496412,0.974
95,elecNormNew,LBagMB,500,88.7,43500.0,599.5440063476562,0.039115234880272576,1683.385728344302,4,MB-LF-500,3845.0,72.55514113967433,3.845
42,elecNormNew,ARFMB,500,88.48333333333333,36500.0,599.2839965820312,0.04709982405429181,1702.9012134069037,4,MB-LF-500,4602.0,60.906014858022,4.602
39,covtypeNorm,SRPMB,500,81.84705882352942,9000.0,599.2169799804688,0.19905932047750227,1777.3468935123158,4,MB-LF-500,16227.0,15.019601080552409,16.227
24,covtypeNorm,OBMB,500,79.2060606060606,99500.0,599.5020141601562,0.017077248881771492,1680.9663160778225,4,MB-LF-500,1614.0,165.97108541726882,1.614
70,covtypeNorm,OBAdwinMB,500,77.36470588235295,34500.0,599.302001953125,0.05326776721428855,1817.425814889138,4,MB-LF-500,4701.0,57.566969386994394,4.701
3,covtypeNorm,OBASHTMB,500,79.24419889502762,91000.0,599.3289794921875,0.018752776409318037,1687.716986257094,4,MB-LF-500,1783.0,151.83647564832333,1.783
53,covtypeNorm,LBagMB,500,77.07179487179488,20000.0,599.2239990234375,0.08772293956043954,1734.8412755609866,4,MB-LF-500,8139.0,33.376500328081384,8.139
77,covtypeNorm,ARFMB,500,84.76363636363637,39000.0,599.7420043945312,0.04665505652306752,1803.7336982762017,4,MB-LF-500,4272.0,65.02796154718628,4.272
62,airlines,SRPMB,500,66.67272727272727,6000.0,599.2000122070312,0.30872930033608303,1834.617525917843,4,MB-LF-500,24483.0,10.013350930852324,24.483
