,dataset,algorithm,batch_size,acc,instances,time,JPI,joules,cores,label,delay,IPS,delay_s
19,covtypeNorm,ARFMB,,85.9057714958775,43273.0,599.5330200195312,0.04059209745177947,1723.5758264282003,4,MB-D,783.0,72.1778426792744,0.783
8,airlines,SRPMB,,66.49197860962566,9871.0,599.22802734375,0.22015830138064804,2127.8299317291617,4,MB-D,5031.0,16.472860997099946,5.031
21,airlines,OBMB,,64.6853582554517,178196.0,599.3400268554688,0.011128271081646941,1938.824307690098,4,MB-D,293.0,297.32037243521546,0.293
4,airlines,OBAdwinMB,,67.47086031452358,28799.0,599.8790283203125,0.06995718971807277,1971.5734791540108,4,MB-D,2132.0,48.008012683221246,2.132
3,airlines,OBASHTMB,,63.318234610917536,172835.0,599.6749877929688,0.012626377759134435,2134.8429565429688,4,MB-D,176.0,288.21445536039164,0.176
7,airlines,LBagMB,,61.98039215686274,10424.0,599.3779907226562,0.17806957838333395,1814.949101319464,4,MB-D,1964.0,17.39136264818804,1.964
11,airlines,ARFMB,,65.86138613861387,9069.0,599.2050170898438,0.21659846970328928,1923.263567081396,4,MB-D,5619.0,15.135053514814295,5.619
9,GMSC,SRPMB,,93.57303370786518,27110.0,599.301025390625,0.06961349093066893,1848.0619663404382,4,MB-D,1145.0,45.23603139562405,1.145
10,GMSC,OBMB,,93.42842826123268,149989.0,401.3630065917969,0.007842004799227444,1140.3115246181665,4,MB-D,166.0,373.69911411029756,0.166
18,GMSC,OBAdwinMB,,93.32954165272666,149978.0,596.4030151367188,0.012247680463562317,1795.9382514044194,4,MB-D,155.0,251.4708950048135,0.155
16,GMSC,OBASHTMB,,93.42060444147604,149981.0,317.22900390625,0.006249382192437887,901.0155332424495,4,MB-D,83.0,472.78463870952845,0.083
1,GMSC,LBagMB,,93.32137030995106,62317.0,599.3070068359375,0.027956653818554795,1706.041768598513,4,MB-D,696.0,103.98176441988356,0.696
20,GMSC,ARFMB,,93.42274678111588,48104.0,599.364990234375,0.03598121190319525,1695.1062581601348,4,MB-D,1020.0,80.25827464695504,1.02
13,elecNormNew,SRPMB,,91.03973509933776,15780.0,599.2420043945312,0.11248202182178871,1737.9646502453345,4,MB-D,2110.0,26.33326750173992,2.11
22,elecNormNew,OBMB,,76.8470066518847,45310.0,151.14100646972656,0.010646123127922633,441.85921086048916,4,MB-D,189.0,299.7862794375103,0.189
15,elecNormNew,OBAdwinMB,,84.6430155210643,45196.0,300.1700134277344,0.020945326041070283,907.8416264518805,4,MB-D,422.0,150.56800472469877,0.422
6,elecNormNew,OBASHTMB,,76.32168607875762,45300.0,113.18199920654295,0.009094999855403569,370.0903100692548,4,MB-D,125.0,400.2403237049487,0.125
5,elecNormNew,LBagMB,,89.8876404494382,45294.0,423.3659973144531,0.03183437897565141,1400.1241392101647,4,MB-D,823.0,106.98544589625627,0.823
12,elecNormNew,ARFMB,,89.5578947368421,19042.0,599.2930297851562,0.09548686427713567,1780.508276897928,4,MB-D,1310.0,31.774105577077158,1.31
14,covtypeNorm,SRPMB,,82.79674796747967,9748.0,599.22998046875,0.188049957941022,1797.7987933554723,4,MB-D,2352.0,16.267543877518595,2.352
23,covtypeNorm,OBMB,,82.7937823834197,121435.0,599.5269775390625,0.015098638556957204,1796.134992998941,4,MB-D,242.0,202.55135223183154,0.242
2,covtypeNorm,OBAdwinMB,,78.73327386262265,28444.0,599.4190063476562,0.06734456873307124,1876.1706308281941,4,MB-D,699.0,47.452616114582796,0.699
0,covtypeNorm,OBASHTMB,,80.26257121624968,102108.0,599.2949829101562,0.016965579165844628,1693.5913512520767,4,MB-D,507.0,170.38020158981973,0.507
17,covtypeNorm,LBagMB,,78.70801033591731,21241.0,599.3759765625,0.08495859092623952,1764.4977843962106,4,MB-D,2435.0,35.43852411606472,2.435
19,covtypeNorm,ARFMB,,81.75094339622642,26965.0,599.301025390625,0.06672320802328299,1761.858159427366,4,MB-D,1221.0,44.99408286916277,1.221
8,airlines,SRPMB,,65.14089347079037,8665.0,599.2150268554688,0.22155732107358728,1882.76518065741,4,MB-D,6973.0,14.460585285171772,6.973
21,airlines,OBMB,,65.31716046927819,127987.0,599.3049926757812,0.014615276077777553,1828.7751174692005,4,MB-D,450.0,213.5590418303754,0.45
4,airlines,OBAdwinMB,,65.39745403111739,18397.0,599.2269897460938,0.09740716629539312,1751.7366213807145,4,MB-D,2385.0,30.70122059721514,2.385
3,airlines,OBASHTMB,,65.43220710838087,114706.0,599.47802734375,0.017301332945378434,1940.7897692484444,4,MB-D,372.0,191.34312646662826,0.372
7,airlines,LBagMB,,61.13915857605178,15902.0,599.5239868164062,0.11790641889719326,1833.7295661919363,4,MB-D,1728.0,26.52437658823768,1.728
11,airlines,ARFMB,,66.01769911504425,8597.0,600.5700073242188,0.21748334858975069,1834.784891941236,4,MB-D,4928.0,14.314734161139842,4.928
9,GMSC,SRPMB,,93.5811088295688,25107.0,599.3079833984375,0.0736330539803718,1813.328505990204,4,MB-D,1018.0,41.893318119388596,1.018
10,GMSC,OBMB,,93.37116154873164,149836.0,571.3779907226562,0.010885504523882485,1595.7887302148715,4,MB-D,70.0,262.23621216227343,0.07
18,GMSC,OBAdwinMB,,93.36972512582268,129868.0,599.5,0.013572430562544771,1723.8064195298373,4,MB-D,199.0,216.62718932443704,0.199
16,GMSC,OBASHTMB,,93.2938816449348,149979.0,312.197998046875,0.006195833286967343,892.6412043132066,4,MB-D,107.0,480.39705872002867,0.107
1,GMSC,LBagMB,,93.27235606369946,62550.0,599.301025390625,0.027748199268639386,1696.862550352623,4,MB-D,870.0,104.3715884838172,0.87
20,GMSC,ARFMB,,93.46920152091256,66496.0,599.4140014648438,0.026440230468259614,1722.0121802951976,4,MB-D,908.0,110.93501292511944,0.908
13,elecNormNew,SRPMB,MB-D,91.201248049922,16828.0,599.2630004882812,0.10833912841660062,1788.1094357582272,4,MB-D,2390.0,28.081159668273358,2.39
22,elecNormNew,OBMB,MB-D,77.12513842746401,45306.0,321.2340087890625,0.021479317460871748,935.9469818267063,4,MB-D,216.0,141.03737076527932,0.216
15,elecNormNew,OBAdwinMB,MB-D,84.0797783933518,45306.0,474.2250061035156,0.030705264805384,1351.864602626454,4,MB-D,283.0,95.53692744348963,0.283
6,elecNormNew,OBASHTMB,MB-D,75.64523281596452,45292.0,192.13699340820312,0.013879542922911684,586.3277282714843,4,MB-D,67.0,235.72763993332217,0.067
5,elecNormNew,LBagMB,MB-D,90.1073283323716,45023.0,546.2570190429688,0.0353660384362404,1553.2088190966313,4,MB-D,1227.0,82.42090889537563,1.227
12,elecNormNew,ARFMB,MB-D,89.75268817204302,19420.0,599.2449951171875,0.08869035203120784,1686.4699128220973,4,MB-D,871.0,32.40744630032705,0.871
14,covtypeNorm,SRPMB,MB-D,82.85399449035813,9587.0,599.3660278320312,0.1820351505386421,1709.1441227018022,4,MB-D,2458.0,15.995234222195021,2.458
23,covtypeNorm,OBMB,MB-D,78.91717171717173,87356.0,599.5050048828125,0.01970393488289413,1686.1146202606174,4,MB-D,371.0,145.71354582281728,0.371
2,covtypeNorm,OBAdwinMB,MB-D,79.46196660482376,27824.0,599.3900146484375,0.06398190801810136,1743.5517147119494,4,MB-D,1425.0,46.42052640186159,1.425
0,covtypeNorm,OBASHTMB,MB-D,78.60015349194167,99274.0,599.3610229492188,0.017625365584004123,1710.8095950082632,4,MB-D,587.0,165.6330595398277,0.587
17,covtypeNorm,LBagMB,MB-D,80.84901531728666,23476.0,599.2630004882812,0.07708526431923543,1769.1003021654499,4,MB-D,1725.0,39.17478633066231,1.725
19,covtypeNorm,ARFMB,MB-D,82.19481680071492,28298.0,599.2440185546875,0.06287240259519536,1744.9311534846975,4,MB-D,815.0,47.2228326421209,0.815
8,airlines,SRPMB,MB-D,65.8048780487805,7298.0,599.2080078125,0.27331970631430214,1952.994368164948,4,MB-D,5989.0,12.179409995941908,5.989
21,airlines,OBMB,MB-D,61.02044245309437,269429.0,599.676025390625,0.007149218821389138,1884.3394528156814,4,MB-D,290.0,449.2909314233393,0.29
4,airlines,OBAdwinMB,MB-D,67.09210526315789,32268.0,599.3090209960938,0.06088543235470806,1920.7718532648562,4,MB-D,2221.0,53.84200615964084,2.221
3,airlines,OBASHTMB,MB-D,66.70158511371469,145494.0,599.4959716796875,0.013956998183230143,1985.9252631465092,4,MB-D,287.0,242.6938743096974,0.287
7,airlines,LBagMB,MB-D,61.40776699029126,10914.0,599.2150268554688,0.19442720835955643,2074.2600897962475,4,MB-D,2753.0,18.2138289443006,2.753
11,airlines,ARFMB,MB-D,66.67716535433071,7457.0,599.2150268554688,0.251452660103042,1838.9158796030033,4,MB-D,5715.0,12.444614480268426,5.715
9,GMSC,SRPMB,MB-D,93.50561797752808,31834.0,599.2769775390625,0.0552798006506579,1723.1927220994148,4,MB-D,1099.0,53.120679073517344,1.099
10,GMSC,OBMB,MB-D,93.36622770461744,149990.0,285.2250061035156,0.005676568914118084,814.9285888671875,4,MB-D,53.0,525.865533492406,0.053
18,GMSC,OBAdwinMB,MB-D,93.34293369055592,149970.0,459.3330078125,0.0099944219161106,1458.6386842685076,4,MB-D,199.0,326.4951515550954,0.199
16,GMSC,OBASHTMB,MB-D,93.29321297225007,150000.0,263.2980041503906,0.005298825333333333,755.507293109131,4,MB-D,79.0,569.6966845002097,0.079
1,GMSC,LBagMB,MB-D,93.33381712626996,69623.0,599.3280029296875,0.025463907978087282,1733.3325174323033,4,MB-D,744.0,116.16844142049557,0.744
20,GMSC,ARFMB,MB-D,93.35971223021583,42185.0,599.2689819335938,0.04354478060620974,1801.667934704346,4,MB-D,600.0,70.39409893014387,0.6
