,dataset,algorithm,batch_size,acc,instances,time,JPI,joules,cores,label,delay,IPS,delay_s
39,covtypeNorm,SRPMB,500,58.64369093941079,13093.0,599.2839965820312,0.14354095775248957,1861.6254746252635,4,MB-500,14241.0,21.84773842564608,14.241
90,covtypeNorm,OBMB,500,75.72346944906174,50433.0,599.343017578125,0.035597999963760216,1778.5270572036477,4,MB-500,3807.0,84.14713865157528,3.807
9,covtypeNorm,OBAdwinMB,500,79.46486582268513,51291.0,599.3380126953125,0.03572256544990919,1815.0987422058495,4,MB-500,3579.0,85.57942081687213,3.579
22,covtypeNorm,OBASHTMB,500,71.28607423955114,38997.0,599.35400390625,0.04625768100382165,1781.1880598720295,4,MB-500,4571.0,65.06505295007564,4.571
96,covtypeNorm,LBagMB,500,65.33287677933767,20943.0,599.2860107421875,0.0877759827255603,1817.9256150199424,4,MB-500,8333.0,34.94658581144432,8.333
3,covtypeNorm,ARFMB,500,66.95102444969152,26758.0,599.3049926757812,0.06688930468142032,1772.9759801653086,4,MB-500,6420.0,44.648384924228125,6.42
25,airlines,SRPMB,500,65.11303022606046,8374.0,599.2589721679688,0.23693359119054966,1949.1456978267704,4,MB-500,24765.0,13.973925112384997,24.765
84,airlines,OBMB,500,63.55185185185185,27500.0,605.1259765625,0.07550347617868053,2056.3840520514023,4,MB-500,7183.0,45.44508261935386,7.183
48,airlines,OBAdwinMB,500,64.42106660471907,30633.0,599.2919921875,0.06309251732631771,1911.3192640131804,4,MB-500,6043.0,51.11531673931641,6.043
54,airlines,OBASHTMB,500,64.71095462221105,28333.0,599.2890014648438,0.0672824128309648,1882.0958421346584,4,MB-500,6365.0,47.277690614620944,6.365
36,airlines,LBagMB,500,62.52032520325204,6650.0,599.27197265625,0.2840949094046592,1859.0529993276127,4,MB-500,25563.0,11.09679795389751,25.563
81,airlines,ARFMB,500,64.58435327523743,10713.0,599.2639770507812,0.1859872516815467,1970.3339014889227,4,MB-500,18402.0,17.876929717556152,18.402
73,GMSC,SRPMB,500,93.43508823673992,41186.0,599.3090209960938,0.042105290332298144,1717.8360865801874,4,MB-500,4277.0,68.72247631371538,4.277
23,GMSC,OBMB,500,93.52173913043478,150000.0,392.37799072265625,0.0076573426183844,1132.3766498278774,4,MB-500,718.0,382.2844388487228,0.718
33,GMSC,OBAdwinMB,500,93.51973244147158,150000.0,597.4669799804688,0.011418132843587387,1694.1947053991619,4,MB-500,1090.0,251.05989958625582,1.09
10,GMSC,OBASHTMB,500,93.34916387959866,150000.0,250.4530029296875,0.005756121212121212,844.7096735174007,4,MB-500,481.0,598.9147594373671,0.481
49,GMSC,LBagMB,500,93.5010033444816,150000.0,592.6119995117188,0.012076135802469136,1792.1025837085865,4,MB-500,1186.0,253.11671063628842,1.186
79,GMSC,ARFMB,500,93.41106178166882,48702.0,599.3250122070312,0.0360889780272407,1741.1188141064945,4,MB-500,3402.0,81.26141744135376,3.402
15,elecNormNew,SRPMB,2000,75.41388888888889,38000.0,600.5650024414062,0.05039086190246257,1900.8157815803736,4,MB-500,19816.0,63.27375029434461,19.816
26,elecNormNew,OBMB,2000,75.33247137052086,45312.0,64.06300354003906,0.005122602944372012,209.4367423424354,4,MB-500,1845.0,707.3037087884933,1.845
13,elecNormNew,OBAdwinMB,2000,76.41069449575176,45312.0,148.1060028076172,0.010583348520746003,461.1989076675906,4,MB-500,3878.0,305.94303499540246,3.878
46,elecNormNew,OBASHTMB,2000,76.10131141485039,45312.0,122.10199737548828,0.009326730678690427,400.0144922566211,4,MB-500,3265.0,371.0995804651455,3.265
17,elecNormNew,LBagMB,2000,75.29091244920576,45312.0,250.16400146484372,0.017632548144098176,777.7141516507057,4,MB-500,6645.0,181.1291781977985,6.645
