dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,6,600.0,119.93599700927734,63390.0,5.002668380737305
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,2000,552,65890.0,119.91600036621094,2234.0,549.4679565429688
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,112,13178.0,119.8219985961914,316.0,109.97980499267578
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,161,19168.0,119.81099700927734,7785.0,159.98532104492188
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,14,1200.0,120.02899932861328,2598.0,9.997584342956543
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,2000,995,119002.0,119.83799743652344,1372.0,993.02392578125
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,1381,150000.0,109.15599822998047,246.0,1374.1800537109375
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,59,6600.0,119.99099731445312,21764.0,55.004127502441406
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,12,1200.0,120.04499816894531,2627.0,9.996251106262207
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,4,2400.0,119.96299743652344,14320.0,20.006168365478516
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,41,4800.0,119.98300170898438,24383.0,40.00566864013672
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,33,3600.0,119.96600341796875,35713.0,30.008501052856445
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,70,8392.0,120.0009994506836,426.0,69.93275451660156
GMSC,LBagExecutorMAXChunk,25,4,50,206,24559.0,119.85399627685547,144.0,204.9076385498047
elecNormNew,LBagExecutorMAXChunk,25,4,2000,159,18569.0,119.81999969482422,8016.0,154.97412109375
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,12,1200.0,119.94400024414062,26232.0,10.004669189453125
GMSC,LBagExecutorMAXChunk,25,4,2000,371,44000.0,120.05999755859375,3724.0,366.4834289550781
GMSC,OzaBagExecutorMAXChunk,25,4,500,547,65291.0,119.91999816894531,546.0,544.4546508789062
covtypeNorm,LBagExecutorMAXChunk,25,4,500,66,7800.0,120.0,5279.0,65.0
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,463,45312.0,98.68399810791016,63.0,459.16259765625
elecNormNew,LBagExecutorMAXChunk,25,4,500,287,34143.0,119.87999725341797,1192.0,284.809814453125
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,995,119002.0,119.9000015258789,32.0,992.5104370117188
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,153,17970.0,119.81300354003906,1793.0,149.9837188720703
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,835,45312.0,54.41400146484375,40.0,832.7268676757812
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,552,65890.0,119.93800354003906,47.0,549.3671264648438
elecNormNew,LBagExecutorMAXChunk,25,4,50,31,3600.0,119.99500274658203,876.0,30.001249313354492
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,290,34742.0,119.86599731445312,1213.0,289.84033203125
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,175,20965.0,119.83999633789062,2018.0,174.94158935546875
GMSC,LBagExecutorMAXChunk,25,4,2000,41,4800.0,119.97899627685547,25312.0,40.00700378417969
covtypeNorm,LBagExecutorMAXChunk,25,4,500,7,600.0,119.93599700927734,47589.0,5.002668380737305
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,767,91500.0,120.04499816894531,403.0,762.2141723632812
covtypeNorm,LBagExecutorMAXChunk,25,4,50,7,600.0,120.01200103759766,5183.0,4.999499797821045
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,19,1800.0,120.01200103759766,1786.0,14.998499870300293
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,126,14975.0,119.81400299072266,2580.0,124.98538970947266
GMSC,LBagExecutorMAXChunk,25,4,500,41,4800.0,119.98300170898438,6721.0,40.00566864013672
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,42,4800.0,119.98699951171875,7425.0,40.00433349609375
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,718,44952.0,63.40800094604492,1993.0,708.9326171875
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,9,600.0,120.0199966430664,5121.0,4.999166965484619
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,42,4800.0,120.08499908447266,734.0,39.97168731689453
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,463,45312.0,98.677001953125,2664.0,459.19512939453125
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,835,44832.0,54.39400100708008,1655.0,824.2085571289062
elecNormNew,LBagExecutorMAXChunk,25,4,2000,287,33868.0,119.86900329589844,4753.0,282.5417785644531
