,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,frequency_maximum,PERC,tput
106,OzaBagAdwinExecutorRUNPER,elecNormNew,4,1,247,244.73851013183597,29351.0,119.9280014038086,304.0,86.9374126946271,25,128,3.3724137931034486,782.4000000000001,244.49183250172845,29351.0,431.6689655172414,404.44684611353387,0.00011489945123176208,0.014707129757665546,600,50,244.73850690776115
70,OzaBagAdwinExecutorRUNPER,elecNormNew,4,1,49,45.00337600708008,5400.0,119.99099731445312,24.0,90.53703703703704,25,128,3.216810344827587,746.3000000000002,44.93447056376118,5400.0,411.75172413793115,385.98828144731203,0.0005957056194125162,0.07625031928480207,600,10,45.00337626037516
25,OzaBagAdwin,elecNormNew,1,1,444,439.2144775390625,45312.0,103.16600036621094,520.0,84.76783192090396,25,111,3.3626943005181347,649.0,438.7509077705156,45312.0,373.25906735751295,346.91572143870934,7.421200345423144e-05,0.008237532383419689,600,90,439.2144683243981
30,OzaBagAdwin,elecNormNew,1,1,247,244.72219848632807,29351.0,119.93599700927734,197.0,86.0106981022793,25,128,3.282832618025752,764.9000000000002,244.48164992420078,29351.0,420.20257510729624,393.7298030574947,0.00011184738571175605,0.014316465371104774,600,50,244.72219126781118
139,OzaBagAdwin,elecNormNew,1,1,49,44.9879150390625,5399.0,120.01000213623048,22.0,88.99796258566401,25,128,3.163793103448276,734.0,44.93372275893058,5400.0,404.9655172413793,379.68681710341883,0.0005859961295514495,0.07500750458258554,600,10,44.987916872722614
111,OzaBagASHTExecutorRUNPER,elecNormNew,4,1,556,547.0714111328125,44786.0,81.86499786376953,1491.0,82.9701245925066,25,90,3.566666666666667,567.1,552.3496068751143,45312.0,321.0,291.98515904744465,7.963798210750384e-05,0.007167418389675345,600,90,547.0714123089308
108,OzaBagASHTExecutorRUNPER,elecNormNew,4,1,309,304.5475158691406,36539.0,119.97799682617188,276.0,83.46698048660336,25,128,3.3900862068965516,786.5,304.2888074616922,36539.0,433.9310344827586,406.7357521714835,9.277993943174557e-05,0.011875832247263433,600,50,304.5475084313912
61,OzaBagASHTExecutorRUNPER,elecNormNew,4,1,61,59.9744987487793,7197.0,120.0009994506836,30.0,88.49520633597332,25,128,3.2154506437768244,749.2,59.90764238465699,7200.0,411.5776824034335,385.85729093756294,0.0004467765240762574,0.05718739508176095,600,10,59.97450048703742
75,OzaBagASHT,elecNormNew,1,1,556,552.5072021484375,45231.0,81.86499786376953,597.0,83.38971059671464,25,90,3.3939024390243904,556.6,552.4236808738906,45312.0,305.4512195121951,277.84181592057394,7.50348751746455e-05,0.006753138765718094,600,90,552.5071908664594
79,OzaBagASHT,elecNormNew,1,1,309,304.6744689941406,36539.0,119.9280014038086,182.0,83.44508607241578,25,128,3.2568965517241386,755.6000000000001,304.31668457303715,36539.0,416.88275862068974,390.59309422723186,8.91348025869383e-05,0.011409254731128103,600,50,304.67446778313126
132,OzaBagASHT,elecNormNew,1,1,61,59.93283462524414,7192.0,120.0009994506836,22.0,88.01446051167964,25,127,3.172173913043479,729.6000000000001,59.90714392691328,7200.0,402.8660869565218,380.6640399966033,0.00044106978768680184,0.056015863036223836,600,10,59.93283416739935
85,OzaBag,elecNormNew,1,1,577,572.9359130859375,45286.0,79.04199981689453,495.0,82.71651282957205,25,87,3.40253164556962,537.6,571.9117999722324,45312.0,296.02025316455695,268.9429057060918,7.513429416529656e-05,0.006536683592380801,600,90,572.9359088194592
73,OzaBag,elecNormNew,1,1,320,319.6451416015625,38336.0,119.93299865722656,169.0,82.65077212020033,25,128,3.260775862068966,756.5000000000001,319.24053795228383,38336.0,417.3793103448277,391.0746270870341,8.505780107650684e-05,0.010887398537792876,600,50,319.64513877924344
40,OzaBag,elecNormNew,1,1,64,60.0009994506836,7200.0,119.9980010986328,19.0,87.52777777777779,25,128,3.2038793103448278,743.3000000000001,59.90515017888344,7200.0,410.09655172413795,384.45911300264555,0.00044498323754789274,0.05695785440613027,600,10,60.00099946733224
107,LeveragingBag,elecNormNew,1,1,276,244.12741088867188,29297.0,120.00700378417967,7314.0,90.0126292794484,25,128,3.462931034482758,803.3999999999999,274.41589271583854,32945.0,443.25517241379305,415.5759777595256,0.00011820087498661154,0.015129711998286277,600,90,244.1274182020881
138,LeveragingBag,elecNormNew,1,1,153,149.86865234375,17970.0,119.90499877929688,823.0,91.13522537562604,25,128,3.381304347826087,777.7,149.72754086886968,17970.0,432.80695652173915,405.4352936985182,0.000188163847959159,0.024084972538772353,600,50,149.86864753717632
134,LeveragingBag,elecNormNew,1,1,30,30.005250930786133,3600.0,119.97899627685548,42.0,90.63888888888889,25,128,3.20948275862069,744.6000000000001,29.959055956858958,3600.0,410.81379310344835,385.07051994718364,0.0008915229885057473,0.11411494252873565,600,10,30.005251850022827
140,LBagExecutorRUNPER,elecNormNew,4,1,276,274.6034545898437,32945.0,119.9729995727539,1031.0,89.91045682197603,25,128,3.582327586206896,831.0999999999999,274.41132128905434,32945.0,458.5379310344827,429.7825859694645,0.00010873660908201234,0.013918285962497579,600,90,274.60345342138027
119,LBagExecutorRUNPER,elecNormNew,4,1,153,149.889892578125,17970.0,119.88800048828124,291.0,91.21313299944352,25,128,3.420689655172414,793.6,149.7337788406256,17970.0,437.848275862069,410.09964304956895,0.00019035557346535413,0.02436551340356533,600,50,149.88989662694829
98,LBagExecutorRUNPER,elecNormNew,4,1,30,30.00625228881836,3600.0,119.9749984741211,22.0,90.88888888888889,25,128,3.2475770925110132,737.2,29.96030259905625,3600.0,415.6898678414097,389.62805671859945,0.0009021047479197259,0.11546940773372491,600,10,30.006251683983383
96,AdaptiveRandomForestSequential,elecNormNew,1,1,184,135.9788055419922,16318.0,120.00399780273438,11417.0,89.49626179678883,25,125,3.5189427312775323,798.7999999999998,179.66257029785461,21564.0,439.86784140969155,422.2871957921771,0.00021564791832807528,0.02695598979100941,600,90,135.97880319640637
45,AdaptiveRandomForestSequential,elecNormNew,1,1,102,99.8416519165039,11980.0,119.98999786376952,1157.0,89.55759599332221,25,125,3.446902654867256,778.9999999999999,99.82917378442565,11980.0,430.862831858407,413.5938421941435,0.00028772142361162403,0.03596517795145301,600,50,99.84165524864395
32,AdaptiveRandomForestSequential,elecNormNew,1,1,20,20.00300025939941,2400.0,119.98200225830078,56.0,86.66666666666667,25,125,3.2572072072072085,723.1000000000003,19.975363718081034,2400.0,407.15090090090104,390.80624249088885,0.0013571696696696703,0.16964620870870875,600,10,20.003000073571112
17,AdaptiveRandomForestExecutorRUNPER,elecNormNew,4,1,184,179.78089904785156,21564.0,119.9459991455078,1673.0,89.57521795585235,25,125,3.7176211453744497,843.9000000000001,179.66556410021414,21564.0,464.7026431718062,445.9137827264055,0.00017239942243435586,0.02154992780429448,600,90,179.78090268638704
