dataset,algorithm,ensemble_size,cores,batch_size,instances,time,acc,prec,recall,change
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,1408,40489.0,32.32699966430664,76.84113131111056,76.26844404132825,75.85116152081707,0
elecNormNew,LBagExecutorMAXChunk,25,4,500,335,39403.0,119.89700317382812,76.43369405958408,?,50.096832500314484,78.0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,644,42679.0,70.80899810791016,76.2113129624622,?,?,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,19,1800.0,120.1969985961914,80.4,79.69224673094703,79.32010580932311,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,1418,39700.0,32.233001708984375,76.22704081632654,75.63573993510664,75.1565134060679,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,2000,185,18000.0,120.21399688720703,60.606249999999996,60.8983645687066,59.88258758218118,0
covtypeNorm,LBagExecutorMAXChunk,25,4,500,95,11381.0,119.80799865722656,56.272401433691755,47.381836843086866,?,22.0
GMSC,LBagExecutorMAXChunk,25,4,50,418,49700.0,120.01100158691406,93.3152064451158,71.36600714940991,52.59971860826028,102.0
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,23,2400.0,120.00599670410156,71.82978723404256,55.67703247527363,52.728618170056464,0
GMSC,LBagExecutorMAXChunk,25,4,2000,416,49633.0,119.89299774169922,93.34285054479038,73.47410651543443,53.236988164863085,4.0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,20,2400.0,120.15599822998047,64.2127659574468,?,?,0
airlines,LBagExecutorMAXChunk,25,4,2000,29,3000.0,119.95899963378906,67.80000000000001,59.36548865370336,55.319198238906274,1.0
