,index,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
210,210,LBagExecutorMAXChunk,elecNormNew,4,50,112,109.9926528930664,13178.0,119.80799865722656,264.0,125,4.195132743362832,948.0999999999999,109.81483641939302,13178.0,502.61045808370136,0.038140116716019225,0
51,51,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,689,537.5250854492188,35589.0,66.20899963378906,3659.0,72,5.426717557251909,710.9,682.4815869142831,45312.0,359.2975407607683,0.010095747021854177,0
98,98,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,382,356.75732421875,42630.0,119.49299621582033,4627.0,124,4.857079646017699,1097.6999999999998,378.60962566844916,45312.0,580.3869997615308,0.013614520285281042,0
14,14,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,76,75.00187683105469,9000.0,119.99700164794922,16986.0,125,4.2433628318584065,958.9999999999999,74.88206075431196,9000.0,509.1908167273597,0.05657675741415107,0
169,169,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,668,592.1294555664062,40581.0,68.53399658203125,832.0,72,5.5671755725190835,729.3,662.3980352600648,45312.0,381.5407916585907,0.009401956375116205,0
206,206,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,371,366.05963134765625,44000.0,120.1989974975586,1123.0,124,4.848,1090.8,369.09420953586357,44326.0,582.7247398681641,0.01324374408791282,0
68,68,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,74,69.88758850097656,8387.0,120.00700378417967,4326.0,125,4.23259911894273,960.7999999999997,69.88643454386622,8400.0,507.9415384838757,0.06056295916106781,0
74,74,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,586,552.4329833984375,42892.0,77.64199829101562,82.0,82,5.402666666666668,810.4000000000001,582.1994372277686,45312.0,419.4738361002605,0.009779768630519922,0
67,67,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,325,324.6612243652344,38935.0,119.9250030517578,107.0,124,4.766071428571428,1067.6,,,571.5711306163242,0.014680136910654276,0
17,17,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,65,64.96643829345703,7800.0,120.06199645996094,454.0,124,4.152654867256636,938.4999999999999,64.89886593391964,7800.0,498.5760339720058,0.06392000435538536,0
170,170,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,2000,141,126.10738372802734,16000.0,126.8759994506836,14864.0,130,5.482173913043477,1260.8999999999996,139.7550204149654,16772.0,695.5562943798561,0.04347226839874101,0
135,135,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,2000,78,75.00563049316406,9000.0,119.99099731445312,22207.0,131,4.711764705882353,1121.4,74.88766849725411,9000.0,565.3693461698645,0.06281881624109605,0
163,163,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,2000,15,15.006877899169922,1800.0,119.94499969482422,78556.0,142,4.073643410852713,1051.0,14.98301924485583,1800.0,488.6131576715514,0.271451754261973,0
181,181,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,500,112,107.38477325439452,13000.0,121.05999755859376,4290.0,125,5.142465753424657,1126.2,109.80385621677472,13178.0,622.546891554741,0.04788822242728777,0
215,215,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,500,62,60.00199890136719,7200.0,119.99600219726562,6329.0,126,4.6,1053.3999999999999,59.90764238465699,7200.0,551.9816101074218,0.0766641125149197,0
125,125,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,500,12,10.005168914794922,1200.0,119.93800354003906,28138.0,126,4.1157894736842096,938.3999999999999,9.989012086704625,1200.0,493.63957246479225,0.41136631038732685,0
86,86,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,104,99.93910217285156,11980.0,119.8730010986328,419.0,125,4.8999999999999995,1117.1999999999998,99.8325013958217,11980.0,587.3777053833006,0.04902985854618536,0
182,182,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,58,54.84597396850586,6600.0,120.33699798583984,672.0,125,4.561946902654866,1030.9999999999998,54.918537502704325,6600.0,548.970995236287,0.08317742352064954,0
136,136,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,11,9.981616973876951,1200.0,120.22100067138672,2791.0,125,4.06081081081081,901.4999999999998,9.98892893709472,1200.0,488.1947392128608,0.40682894934405067,0
155,155,OzaBagExecutorMAXChunk,covtypeNorm,4,2000,628,609.9873046875,74000.0,121.31400299072266,3195.0,127,4.974891774891776,1149.2000000000003,623.2208553212033,74875.0,603.5240356577425,0.008155730211591114,0
218,218,OzaBagExecutorMAXChunk,covtypeNorm,4,2000,348,344.6777648925781,41331.0,119.91200256347656,5306.0,127,4.6632034632034625,1077.1999999999998,344.1353527447732,41331.0,559.1740656336664,0.013529168557104024,0
154,154,OzaBagExecutorMAXChunk,covtypeNorm,4,2000,69,65.00433349609375,7800.0,119.99199676513672,19216.0,130,4.059292035398229,917.3999999999999,64.90102593544843,7800.0,487.0825567802496,0.06244648163849354,0
88,88,OzaBagExecutorMAXChunk,covtypeNorm,4,500,684,674.0619506835938,81000.0,120.16699981689452,715.0,126,4.891266375545851,1120.1,677.7991330321411,81464.0,587.7688056546006,0.007256405008081488,0
50,50,OzaBagExecutorMAXChunk,covtypeNorm,4,500,380,378.8755798339844,45434.0,119.91799926757812,1215.0,125,4.584955752212389,1036.2,379.025543677357,45524.0,549.8187205356834,0.012101481721523163,0
2,2,OzaBagExecutorMAXChunk,covtypeNorm,4,500,76,74.01437377929688,9000.0,121.5979995727539,4693.0,127,4.118666666666666,926.6999999999998,74.88268379538722,9000.0,500.82162757364904,0.055646847508183224,0
56,56,OzaBagExecutorMAXChunk,covtypeNorm,4,50,600,593.9984130859375,71300.0,120.03399658203124,82.0,125,4.881938325991189,1108.1999999999998,598.2223109957056,71880.0,585.9985683357136,0.008218773749448998,0
102,102,OzaBagExecutorMAXChunk,covtypeNorm,4,50,333,329.546142578125,39534.0,119.96499633789062,134.0,126,4.599563318777293,1053.3000000000002,329.1784277970674,39534.0,551.7865966930141,0.013957267078793294,0
107,107,OzaBagExecutorMAXChunk,covtypeNorm,4,50,66,64.89891815185547,7788.0,120.0019989013672,483.0,126,4.042105263157894,921.5999999999999,64.89724602712373,7800.0,485.06071134868415,0.06228309082546021,0
149,149,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,2000,579,563.6774291992188,67621.0,119.96399688720705,3487.0,127,5.093478260869565,1171.5,573.3488701152774,68885.0,611.0340102320133,0.009036157558036901,0
146,146,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,2000,321,312.5667419433594,37473.0,119.88800048828124,5570.0,126,4.596943231441048,1052.7,319.2538307794803,38336.0,551.1183323756055,0.014707077959480307,0
77,77,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,2000,64,60.0004997253418,7200.0,119.9990005493164,21116.0,131,4.165546218487394,991.3999999999999,59.90664547746429,7200.0,499.8613829604717,0.0694251920778433,0
191,191,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,500,658,649.72412109375,77950.0,119.9739990234375,739.0,125,5.062555066079295,1149.1999999999998,653.0376165113182,78469.0,607.3749765538959,0.007791853451621499,0
42,42,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,500,366,364.662109375,43727.0,119.91100311279295,1189.0,126,4.7786026200873355,1094.2999999999997,364.097354638334,43727.0,573.007033652093,0.013104192687632195,0
18,18,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,500,73,70.00057983398438,8400.0,119.9990005493164,4758.0,127,4.0917391304347825,941.0999999999999,69.891086390375,8400.0,491.0046061607029,0.05845292930484559,0
101,101,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,557,548.9013671875,65900.0,120.05799865722656,87.0,126,5.093449781659389,1166.4,553.3418220857363,66489.0,611.5093870471139,0.009279353369455446,0
