,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
270,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,440,438.79534912109375,26401.0,60.16699981689453,831.0,68,,0.0,438.75782139967976,26576.0,,,0
48,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,439,432.4899597167969,26000.0,60.117000579833984,825.0,68,,0.0,433.7606837606838,26187.0,,,0
253,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,244,239.39822387695312,14401.0,60.15499877929688,1352.0,68,,0.0,239.39754260800635,14496.0,,,0
251,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,243,239.41812133789065,14401.0,60.150001525878906,1350.0,68,,0.0,239.41335799696108,14496.0,,,0
222,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,157,154.6455078125,9301.0,60.14400100708008,2003.0,68,3.9717741935483875,492.50000000000006,154.65318637606697,9331.0,238.87839109666888,0.0256830868827727,0
114,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,48,44.93428802490234,2701.0,60.11000061035156,6235.0,68,,0.0,44.92611817774756,2709.0,,,0
115,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,48,44.93428802490234,2701.0,60.11000061035156,6235.0,68,,0.0,44.924877274755794,2718.0,,,0
370,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,1243,1163.16455078125,42680.0,36.69300079345703,41.0,45,4.346987951807228,360.79999999999995,1232.6441784548422,45312.0,159.50403236481077,0.0037372078810874124,0
71,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,690,688.2759399414062,41300.0,60.005001068115234,55.0,68,4.14758064516129,514.3,687.8333250261676,41400.0,248.87558104299728,0.00602604312452778,0
502,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,415,414.4023742675781,45312.0,109.34300231933594,79.0,116,,0.0,413.895156060177,45312.0,,,0
132,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,387,384.9294128417969,23100.0,60.01100158691406,89.0,68,,0.0,383.85226896323286,23177.0,,,0
133,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,387,384.9294128417969,23100.0,60.01100158691406,89.0,68,,0.0,383.89041640441246,23177.0,,,0
11,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,230,229.81968688964844,27554.0,119.8939971923828,127.0,127,,0.0,229.5286806724089,27554.0,,,0
279,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,215,214.45550537109372,12901.0,60.15700149536133,142.0,68,,0.0,214.4727248624644,12943.0,,,0
280,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,215,214.45550537109372,12901.0,60.15700149536133,142.0,68,,0.0,214.4727248624644,12943.0,,,0
205,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,138,134.71131896972656,8101.0,60.13600158691406,220.0,68,3.888,486.0,134.70016905890543,8127.0,233.80877416992186,0.028861717586708045,0
81,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,46,44.99212646484375,5400.0,120.02100372314452,597.0,127,,0.0,44.93297497898967,5400.0,,,0
301,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,43,39.94476318359375,2401.0,60.108001708984375,677.0,68,,0.0,39.93432726910894,2408.0,,,0
302,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,43,39.94476318359375,2401.0,60.108001708984375,677.0,68,,0.0,39.934989551892265,2408.0,,,0
189,LBagExecutorMAXChunk,elecNormNew,4,2000,598,463.814208984375,28000.0,60.36899948120117,4087.0,68,4.577600000000001,572.2000000000002,593.2320897986134,35938.0,276.34513202514654,0.009869469000898091,0
223,LBagExecutorMAXChunk,elecNormNew,4,2000,332,291.83563232421875,17558.0,60.16400146484375,5779.0,69,4.328571428571429,545.4000000000001,329.14507772020727,20328.0,260.42417776925225,0.01483222336081856,0
180,LBagExecutorMAXChunk,elecNormNew,4,2000,164,159.6441650390625,9601.0,60.13999938964844,9136.0,69,,0.0,159.64119730897983,9824.0,,,0
181,LBagExecutorMAXChunk,elecNormNew,4,2000,164,159.6441650390625,9601.0,60.13999938964844,9136.0,69,,0.0,159.64119730897983,9824.0,,,0
95,LBagExecutorMAXChunk,elecNormNew,4,2000,91,89.84147644042969,5401.0,60.117000579833984,15223.0,69,,0.0,89.82210557013707,5544.0,,,0
96,LBagExecutorMAXChunk,elecNormNew,4,2000,91,89.84147644042969,5401.0,60.117000579833984,15223.0,69,,0.0,89.81661238307636,5598.0,,,0
389,LBagExecutorMAXChunk,elecNormNew,4,2000,66,64.88905334472656,3901.0,60.11800003051758,21907.0,71,4.050387596899225,522.5,64.88015767054486,4082.0,243.5012016739956,0.062420200377850704,0
453,LBagExecutorMAXChunk,elecNormNew,4,2000,18,14.994424819946287,901.0,60.0890007019043,42699.0,80,,0.0,14.980862359897383,1092.0,,,0
454,LBagExecutorMAXChunk,elecNormNew,4,2000,18,14.994424819946287,901.0,60.0890007019043,42699.0,80,,0.0,14.980656844184706,1092.0,,,0
357,LBagExecutorMAXChunk,elecNormNew,4,500,603,539.43701171875,32500.0,60.24800109863281,896.0,68,4.599193548387096,570.3,598.1419842018978,36120.0,277.0922179560507,0.008525914398647715,0
179,LBagExecutorMAXChunk,elecNormNew,4,500,335,314.7519226074219,19000.0,60.3650016784668,1383.0,68,4.4201612903225795,548.0999999999999,334.09837689678517,20234.0,266.8230437094165,0.014043318089969288,0
102,LBagExecutorMAXChunk,elecNormNew,4,500,177,173.4189910888672,10500.0,60.547000885009766,2135.0,280,,0.0,174.60526532426692,10605.0,,,0
417,LBagExecutorMAXChunk,elecNormNew,4,500,175,174.045654296875,10500.0,60.32899856567383,2156.0,68,,0.0,174.59242496820337,10570.0,,,0
321,LBagExecutorMAXChunk,elecNormNew,4,500,98,94.81124114990234,5701.0,60.130001068115234,3688.0,68,,0.0,94.80536646619522,5738.0,,,0
350,LBagExecutorMAXChunk,elecNormNew,4,500,97,94.82228088378906,5701.0,60.12300109863281,3671.0,68,,0.0,94.81006592752928,5738.0,,,0
45,LBagExecutorMAXChunk,elecNormNew,4,500,67,64.88796997070312,3901.0,60.11899948120117,5168.0,68,4.05483870967742,502.8000000000001,64.88076548065641,3926.0,243.77284628345126,0.062489834986785765,0
276,LBagExecutorMAXChunk,elecNormNew,4,500,19,14.99417495727539,901.0,60.09000015258789,20520.0,68,,0.0,14.980481457384515,921.0,,,0
277,LBagExecutorMAXChunk,elecNormNew,4,500,19,14.99417495727539,901.0,60.09000015258789,20520.0,68,,0.0,14.979704915920365,930.0,,,0
291,LBagExecutorMAXChunk,elecNormNew,4,50,544,508.5394592285156,30550.0,60.07400131225586,94.0,68,4.58,526.7,538.4295803905277,32400.0,275.13892601013185,0.009006184157451124,0
320,LBagExecutorMAXChunk,elecNormNew,4,50,302,298.9723205566406,17950.0,60.03900146484375,136.0,68,4.424193548387096,548.5999999999999,299.1948576919254,18060.0,265.62416293236515,0.014798003505981346,0
23,LBagExecutorMAXChunk,elecNormNew,4,50,158,154.92886352539062,18569.0,119.8550033569336,220.0,128,,0.0,154.718458897832,18569.0,,,0
299,LBagExecutorMAXChunk,elecNormNew,4,50,152,149.97750854492188,9000.0,60.00899887084961,227.0,202,,0.0,149.65693261294706,9030.0,,,0
300,LBagExecutorMAXChunk,elecNormNew,4,50,152,149.97750854492188,9000.0,60.00899887084961,227.0,202,,0.0,149.6470120314209,9030.0,,,0
3,LBagExecutorMAXChunk,elecNormNew,4,50,87,84.98262786865234,10198.0,120.0009994506836,373.0,128,,0.0,84.86492333036583,10200.0,,,0
318,LBagExecutorMAXChunk,elecNormNew,4,50,84,79.84632873535156,4801.0,60.12799835205078,414.0,68,,0.0,79.84217244980852,4816.0,,,0
319,LBagExecutorMAXChunk,elecNormNew,4,50,84,79.84632873535156,4801.0,60.12799835205078,414.0,68,,0.0,79.83952520681024,4816.0,,,0
292,LBagExecutorMAXChunk,elecNormNew,4,50,60,59.90285110473633,3601.0,60.11399841308594,539.0,68,4.000000000000001,496.00000000000006,59.892551568614444,3612.0,240.4559936523438,0.06677478301925682,0
80,LBagExecutorMAXChunk,elecNormNew,4,50,17,14.99000644683838,1800.0,120.08000183105467,1832.0,128,,0.0,14.981896874609847,1800.0,,,0
13,LBagExecutorMAXChunk,elecNormNew,4,50,16,14.994751930236816,900.0,60.02099990844727,1927.0,68,,0.0,14.979844395414808,903.0,,,0
340,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,358,265.9574584960937,16000.0,60.15999984741211,7027.0,65,4.6268907563025214,550.6,354.04724826877833,21371.0,278.3537471931522,0.017397109199572013,0
298,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,198,163.0550079345703,10000.0,61.32899856567383,10451.0,67,4.385365853658537,539.4000000000001,194.55006337135615,11973.0,268.9500961489794,0.026895009614897943,0
342,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,89,84.83568572998047,5101.0,60.12799835205078,17632.0,366,,0.0,84.83413838328909,5304.0,,,0
68,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,83,79.84898376464844,4801.0,60.1259994506836,18484.0,67,,0.0,79.84445884640311,4928.0,,,0
