dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,228,13500.0,60.20899963378906,1469.0,224.21897888183594
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,24,1200.0,60.125999450683594,1470.0,19.958087921142578
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,321,19200.0,60.01499938964844,99.0,319.9200134277344
covtypeNorm,LBagExecutorMAXChunk,25,4,500,21,1201.0,60.071998596191406,15061.0,19.99267578125
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,89,5101.0,60.12799835205078,17632.0,84.83568572998047
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,5,1500.0,64.65799713134766,16619.0,23.198986053466797
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,12
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,266,15901.0,60.167999267578125,1233.0,264.2767028808594
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,30,1801.0,60.0880012512207,37841.0,29.972705841064453
elecNormNew,LBagExecutorMAXChunk,25,4,500,97,5701.0,60.12300109863281,3671.0,94.82228088378906
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,231,13801.0,60.15700149536133,5691.0,229.41635131835938
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,2
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,7,301.0,60.07899856567383,38907.0,5.010070323944092
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,91,5401.0,60.132999420166016,4290.0,89.81757354736328
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,6,300.0,60.183998107910156,5824.0,4.984713554382324
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,6,301.0,60.066001892089844,34361.0,5.0111541748046875
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,36,2100.0,60.1879997253418,1021.0,34.89067459106445
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,43,2401.0,60.0989990234375,27354.0,39.950748443603516
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,41,2401.0,60.10599899291992,7128.0,39.94609451293945
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,65,3900.0,60.0260009765625,593.0,64.97184753417969
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,453,27000.0,60.02000045776367,67.0,449.85003662109375
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,5,1500.0,60.040000915527344,1163.0,24.98334312438965
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,64,3601.0,60.11199951171875,6304.0,59.90484619140625
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,13,601.0,60.08399963378906,46475.0,10.002662658691406
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,36,2101.0,60.097999572753906,10162.0,34.95956802368164
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,79,4501.0,60.124000549316406,18130.0,74.86195373535156
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,43,2401.0,60.099998474121094,29029.0,39.9500846862793
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,42,2401.0,60.10499954223633,28007.0,39.94675827026367
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,214,12601.0,60.150001525878906,6297.0,209.49293518066406
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,143,8401.0,60.13600158691406,10442.0,139.70001220703125
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,21,1200.0,60.42900085449219,1862.0,19.858015060424805
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,50,3001.0,60.11000061035156,20845.0,49.92513656616211
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,52,6000.0,120.21499633789062,644.0,49.910579681396484
covtypeNorm,LBagExecutorMAXChunk,25,4,50,37,2100.0,60.1879997253418,1011.0,34.89067459106445
GMSC,OzaBagExecutorMAXChunk,25,4,500,72,4201.0,60.11600112915039,4050.0,69.88156127929688
elecNormNew,LBagExecutorMAXChunk,25,4,500,175,10500.0,60.32899856567383,2156.0,174.045654296875
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,380,22750.0,60.0099983215332,94.0,379.1034851074219
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,48,2701.0,60.106998443603516,7373.0,44.93653106689453
GMSC,LBagExecutorMAXChunk,25,4,2000,105,6301.0,60.12699890136719,13153.0,104.79485321044922
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,4,1200.0,60.04600143432617,1476.0,19.984678268432617
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,15,901.0,60.09199905395508,40335.0,14.99367618560791
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,24,1201.0,60.097999572753906,54950.0,19.984025955200195
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,43,2401.0,60.10100173950195,27860.0,39.94941711425781
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,9,300.0,60.138999938964844,5843.0,4.988443374633789
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,4,1201.0,60.08399963378906,42453.0,19.98868179321289
GMSC,OzaBagExecutorMAXChunk,25,4,500,652,39000.0,60.12300109863281,552.0,648.6702270507812
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,5,1501.0,60.08000183105469,1105.0,24.983354568481445
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,5,1501.0,60.08700180053711,37631.0,24.980443954467773
GMSC,LBagExecutorMAXChunk,25,4,2000,189,11101.0,60.14099884033203,7736.0,184.58290100097656
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,48,2701.0,60.10900115966797,7900.0,44.935035705566406
elecNormNew,LBagExecutorMAXChunk,25,4,2000,18,901.0,60.0890007019043,42699.0,14.994424819946289
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,46,2701.0,60.099998474121094,23419.0,44.94176483154297
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,4,1201.0,60.08700180053711,37176.0,19.98768424987793
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,4,1201.0,60.08100128173828,1433.0,19.98967933654785
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,5,3000.0,120.2040023803711,1223.0,24.957571029663086
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,38,2100.0,60.20800018310547,936.0,34.879085540771484
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,871,52027.0,60.00600051879883,447.0,867.0299682617188
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,48,2700.0,60.029998779296875,738.0,44.97751235961914
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,5,1501.0,60.08700180053711,42605.0,24.980443954467773
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,816,48800.0,60.00899887084961,45.0,813.2113647460938
GMSC,LBagExecutorMAXChunk,25,4,50,206,12300.0,60.00299835205078,172.0,204.98976135253906
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,42,2401.0,60.108001708984375,688.0,39.94476318359375
