,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
163,OzaBagAdwinExecutorMAXChunk,GMSC,4,50,457,454.5068054199219,54509.0,119.93000030517578,63.0,125,,0.0,453.8861225373458,54509.0,,,0
164,OzaBagAdwinExecutorMAXChunk,GMSC,4,50,457,454.5068054199219,54509.0,119.93000030517578,63.0,125,,0.0,453.87856381561414,54509.0,,,0
21,OzaBagAdwinExecutorMAXChunk,GMSC,4,50,91,89.989501953125,10800.0,120.01399993896484,284.0,126,,0.0,89.85398727068514,10800.0,,,0
22,OzaBagAdwinExecutorMAXChunk,GMSC,4,50,91,89.989501953125,10800.0,120.01399993896484,284.0,126,,0.0,89.85623003194888,10800.0,,,0
23,OzaBagAdwinExecutorMAXChunk,GMSC,4,50,91,89.989501953125,10800.0,120.01399993896484,284.0,126,,0.0,89.8554824324212,10800.0,,,0
31,OzaBagASHTExecutorMAXChunk,GMSC,4,2000,1552,1542.2578125,150000.0,97.26000213623048,976.0,102,3.7805405405405406,699.4,1544.9582861262745,150000.0,367.69538104907895,0.002451302540327193,0
224,OzaBagASHTExecutorMAXChunk,GMSC,4,2000,862,858.5737915039062,103028.0,119.9990005493164,1487.0,126,3.9362445414847156,901.3999999999999,857.2522132729814,103028.0,472.3454108958681,0.0045846314681044775,0
92,OzaBagASHTExecutorMAXChunk,GMSC,4,2000,172,169.98580932617188,20366.0,119.80999755859376,6420.0,125,3.9255506607929522,891.1000000000001,169.71242385607027,20366.0,470.32021508573973,0.023093401506714118,0
179,OzaBagASHTExecutorMAXChunk,GMSC,4,500,1552,1546.4554443359375,150000.0,96.99600219726562,219.0,103,,0.0,1544.7037258253868,150000.0,,,0
160,OzaBagASHTExecutorMAXChunk,GMSC,4,500,862,857.8615112304688,103000.0,120.06600189208984,364.0,125,,0.0,857.2664791732539,103028.0,,,0
20,OzaBagASHTExecutorMAXChunk,GMSC,4,500,172,169.97303771972656,20366.0,119.81900024414062,1594.0,126,,0.0,169.7081812576038,20366.0,,,0
46,OzaBagASHTExecutorMAXChunk,GMSC,4,50,1552,1546.423583984375,150000.0,96.9980010986328,21.0,103,,0.0,1543.6227797559018,150000.0,,,0
47,OzaBagASHTExecutorMAXChunk,GMSC,4,50,1552,1546.423583984375,150000.0,96.9980010986328,21.0,103,,0.0,1544.52876427402,150000.0,,,0
69,OzaBagASHTExecutorMAXChunk,GMSC,4,50,862,857.0845336914062,102857.0,120.00800323486328,35.0,124,,0.0,857.1452341533624,103028.0,,,0
70,OzaBagASHTExecutorMAXChunk,GMSC,4,50,862,857.0845336914062,102857.0,120.00800323486328,35.0,124,,0.0,857.111905535695,102856.0,,,0
71,OzaBagASHTExecutorMAXChunk,GMSC,4,50,862,857.0845336914062,102857.0,120.00800323486328,35.0,124,,0.0,857.1594964932569,103028.0,,,0
129,OzaBagASHTExecutorMAXChunk,GMSC,4,50,172,169.9460906982422,20366.0,119.83799743652344,154.0,126,,0.0,169.70393887125132,20366.0,,,0
130,OzaBagASHTExecutorMAXChunk,GMSC,4,50,172,169.9460906982422,20366.0,119.83799743652344,154.0,126,,0.0,169.70535297646825,20366.0,,,0
131,OzaBagASHTExecutorMAXChunk,GMSC,4,50,172,169.9460906982422,20366.0,119.83799743652344,154.0,126,,0.0,169.69121298471896,20366.0,,,0
117,LBagExecutorMAXChunk,GMSC,4,2000,299,294.85479736328125,35341.0,119.85900115966795,4376.0,126,4.174235807860263,955.9000000000001,294.3856726364015,35341.0,500.3197345350507,0.014156920702160401,0
152,LBagExecutorMAXChunk,GMSC,4,2000,166,164.9724578857422,19767.0,119.81999969482422,7461.0,125,4.268018018018019,947.5000000000001,164.71264655150864,19767.0,511.39391761642327,0.025871094127405438,0
18,LBagExecutorMAXChunk,GMSC,4,2000,33,30.00775146484375,3600.0,119.96900177001952,34846.0,127,4.1091304347826085,945.1,29.960551939945738,3600.0,492.9682764036758,0.1369356323343544,0
167,LBagExecutorMAXChunk,GMSC,4,500,299,294.8523254394531,35341.0,119.86000061035156,1114.0,126,,0.0,294.37831624365907,35341.0,,,0
111,LBagExecutorMAXChunk,GMSC,4,500,166,164.980712890625,19767.0,119.81400299072266,1818.0,11975,,0.0,24.968373393701313,3000.0,,,0
112,LBagExecutorMAXChunk,GMSC,4,500,166,164.980712890625,19767.0,119.81400299072266,1818.0,11975,,0.0,164.72362730310581,19767.0,,,0
15,LBagExecutorMAXChunk,GMSC,4,500,33,30.00775146484375,3600.0,119.96900177001952,8864.0,126,,0.0,29.96005326231691,3600.0,,,0
16,LBagExecutorMAXChunk,GMSC,4,500,33,30.00775146484375,3600.0,119.96900177001952,8864.0,126,,0.0,29.96030259905625,3600.0,,,0
198,LBagExecutorMAXChunk,GMSC,4,50,299,294.7613220214844,35341.0,119.89700317382812,106.0,126,,0.0,294.3856726364015,35341.0,,,0
199,LBagExecutorMAXChunk,GMSC,4,50,299,294.7613220214844,35341.0,119.89700317382812,106.0,126,,0.0,294.3832204646359,35341.0,,,0
200,LBagExecutorMAXChunk,GMSC,4,50,299,294.7613220214844,35341.0,119.89700317382812,106.0,126,,0.0,294.3832204646359,35341.0,,,0
11,LBagExecutorMAXChunk,GMSC,4,50,166,164.9174041748047,19767.0,119.86000061035156,177.0,125,,0.0,164.7085291470853,19767.0,,,0
12,LBagExecutorMAXChunk,GMSC,4,50,166,164.9174041748047,19767.0,119.86000061035156,177.0,125,,0.0,164.71539160215653,19767.0,,,0
13,LBagExecutorMAXChunk,GMSC,4,50,166,164.9174041748047,19767.0,119.86000061035156,177.0,125,,0.0,164.70990159235404,19767.0,,,0
232,LBagExecutorMAXChunk,GMSC,4,50,33,30.0,3600.0,120.0,856.0,126,,0.0,29.960551939945738,3600.0,,,0
